source,set_id,set_name,genes
KEGG,KEGG0011,"Cytokine-cytokine receptor interaction",GENE2612/GENE2560/GENE2960/GENE1672/GENE1424/GENE0378/GENE0670/GENE1357/GENE0794/GENE0889/GENE0208/GENE2014/GENE1782/GENE2703/GENE1058/GENE0106/GENE0070/GENE1172/GENE1429/GENE1743/GENE0835/BCL2/GENE2928/GENE1000/GENE2937/GENE1285/GENE1112/GENE1549/GENE2693/GENE2282/GENE2461/GENE0185/GENE1606/GENE1262/GENE1890/GENE0942/GENE2250/GENE0576/GENE1267/GENE0496/GENE0322/GENE2972/GENE0103/GENE0541/GENE2217/GENE1952/GENE0990/GENE0873/GENE1667/GENE2800/GENE2357/GENE0803/GENE0844/GENE0762/GENE1555/GENE0814/GENE1220/GENE0799/GENE1003/GENE1714/GENE0776/GENE0908/GENE0244/GENE0418/GENE1375/GENE1984/GENE2733/GENE2788/GENE2799/GENE0321/GENE0696/GENE0831/GENE0199/GENE2210/GENE2353/GENE0361/GENE2330/GENE0838/TNF/GENE2867/GENE2018/GENE1077/GENE2903/GENE1104/GENE0575/GENE2197/GENE1524/GENE0427/GENE2081/GENE0538
KEGG,KEGG0012,"p53 signaling pathway",GENE0953/GENE1576/GENE0894/GENE2690/GENE1374/GENE0764/GENE1866/GENE2641/GENE2619/GENE2235/GENE2663/GENE1941/GENE2639/GENE0843/GENE2607/GENE1404/GENE2652/GENE2251/GENE0874/GENE1154/GENE1640/GENE1632/GENE2778/GENE1038/GENE0374/GENE0255/GENE1223/GENE2177/GENE1754/GENE1641/GENE2547/GENE0450/GENE2159/GENE2463/GENE2773/GENE0800/GENE0031/GENE0760/GENE2621/GENE2199/GENE0986/GENE2142/GENE2595/GENE0536/GENE2540/GENE0188/GENE0676/GENE1607/GENE2182/GENE0368/GENE2925/GENE0497/GENE1750/GENE2415/GENE1338/GENE0491/GENE1368/GENE0963/GENE0573/GENE1499/GENE1673/GENE0350/GENE2517/GENE1758/GENE0478/GENE1604/GENE1224/GENE1524/GENE0796/GENE1796/GENE1902/GENE1998/GENE2840/VEGFA/GENE2051/GENE2946/GENE0056/GENE0938/GENE2836/GENE0283/GENE1198/GENE2662/GENE0826/GENE1994/GENE1925/GENE0631/GENE2572/GENE2577/GENE1611/GENE2921/GENE1781/GENE1196/GENE2956/GENE1786/GENE0428/GENE2886/GENE0761/GENE1400/GENE1805/GENE1558/GENE0730/GENE0313/GENE0632/GENE2787/GENE1732/GENE1717/GENE2212/GENE1433/GENE1299/GENE0513/GENE1584/GENE2491/GENE0713/GENE1007/GENE2992/GENE0507/GENE2329/GENE1518/GENE1185/GENE1569/GENE2487/GENE2021/GENE2792/GENE1775/GENE0660/GENE1206/GENE0254/GENE0330/GENE2468/GENE0284/GENE2028/GENE1072/GENE1954/GENE2275/GENE0208/GENE1828/GENE0804/GENE1579/GENE0166/GENE0458/GENE0947/GENE0439/GENE0444/GENE0172/GENE2243/GENE1624/GENE1397/GENE0880/GENE2765/GENE0233/GENE0035/GENE2464/GENE1295/GENE0384/GENE2828/GENE2588/GENE0762/GENE2515/GENE0052/GENE2431/GENE1191/GENE0424/GENE2338/GENE0404/GENE0185/GENE1702/GENE2020/GENE0354/GENE2821/GENE0138/GENE1918/GENE1929/GENE2417/GENE2896/GENE2123/GENE0582/GENE0858/GENE0790/GENE2101/GENE0288/GENE0558/GENE1471/GENE0574/GENE1797/GENE0440/GENE2659/GENE1752/GENE1864/GENE1458/GENE2719/GENE0144/GENE2103/GENE1889/GENE0710/GENE1306/GENE0570/GENE1726/GENE1108/GENE2760/GENE1001/GENE1186/GENE0077/GENE1473/GENE0940/GENE2959/GENE2419/GENE2369/GENE1136/GENE1951/GENE1788/GENE0253/GENE0415/GENE0997/GENE1515/GENE0398/GENE2295/GENE0955/GENE2869/GENE2467/GENE1719/GENE2590/GENE0827/GENE0935/GENE2263/GENE1031/GENE2228/GENE2132/GENE0608/GENE1209/GENE1137/GENE2976/GENE1180/GENE2130/GENE1117/GENE0049/GENE2423/GENE2013/GENE2523/GENE2276/GENE0592/GENE2714/GENE0390/GENE1977/GENE1358/GENE1244/GENE2790/GENE0621/GENE0312/GENE0537/GENE0512/GENE2453/GENE2518/GENE2015/GENE1957/GENE1092/GENE1696/GENE1286/GENE1053/GENE2734/GENE1631/GENE2967/GENE0983/GENE0902/GENE0919/GENE1320/GENE1943
KEGG,KEGG0013,"Cell cycle",GENE2078/GENE1248/GENE0563/GENE0492/GENE0328/GENE2257/GENE2014/GENE2031/GENE1308/GENE1420/GENE0388/GENE2238/GENE1241/GENE1432/GENE2663/GENE1988/GENE1092/GENE1936/GENE0429/GENE1944/GENE1295/GENE1782/GENE0912/GENE0855/GENE0933/GENE0208/GENE1928/GENE1725/GENE0940/TNF/GENE1317/GENE2384/GENE0863/GENE0350/GENE1966/GENE0070/GENE1313/GENE1351/GENE1290/GENE0926/GENE1817/GENE0487/GENE0899/GENE2324/GENE2528/GENE1105/GENE2885/GENE2950/GENE1184/GENE1796/GENE0464/GENE1558/GENE2609/GENE2847/GENE2586/GENE0727/GENE2588/GENE0612/GENE2047/GENE2710/GENE0112/GENE1942/GENE1153/GENE1884/GENE1160/GENE1527/GENE2827/GENE1444/GENE2348/GENE2083/GENE1678/GENE2492/GENE0499/GENE0437/GENE1842/GENE2173/GENE1856/GENE1592/GENE2197/GENE1088/GENE1458/GENE1626/GENE0480/GENE0662/GENE1037/GENE0514/GENE1139/GENE2815/GENE0609/GENE0682/GENE0887/GENE2545/GENE0223/GENE2178/GENE2646/GENE2330/GENE1011/GENE2041/GENE1181/GENE0229/GENE0108/GENE2835/GENE2546/GENE0962/GENE1825/GENE2443/GENE1755/GENE1968/GENE0867/GENE0347/GENE0969/GENE2401/GENE2128/GENE0852/GENE0911/GENE2076/GENE2166/GENE2206/GENE0837/GENE2133/GENE2862/GENE0971/GENE2878/GENE2368/GENE0311/GENE0995/GENE2939/GENE2692/GENE1098/GENE2654/GENE1971/GENE0483/GENE2810/GENE1162/GENE0663/GENE2058/GENE0826/GENE2403/GENE0050/GENE1509/GENE1027/GENE0743/GENE1322/GENE2864/GENE1618/GENE0671/GENE2474/GENE2045/GENE0593/GENE1285/GENE0597/GENE1205/GENE0481/GENE1274/GENE2976/GENE1386/GENE2873/GENE2438/GENE0153/GENE0371/GENE2174/GENE0762/GENE2790/GENE0978/GENE0126/GENE2509/BAX/GENE2730/GENE1242/GENE1418/GENE1873/GENE0755/GENE1453/GENE2205/GENE2043/GENE2797/GENE0092/GENE2658/GENE2152/GENE2902/GENE0117/GENE1436/GENE0099/GENE2187/GENE2185/GENE0273/GENE1165/GENE0711/GENE0450/GENE0626/GENE2945/GENE2301/GENE0184/GENE0865/GENE0788/GENE1467/GENE0848/GENE0645/GENE1222
KEGG,KEGG0014,"PI3K-Akt signaling",GENE1196/GENE2031/GENE0106/GENE1938/GENE1747/GENE1665/GENE2577/GENE1786/GENE2227/GENE1256/GENE0194/GENE0394/GENE2110/GENE2062/GENE0217/GENE1800/GENE2899/GENE2869/GENE0843/GENE2143/GENE1795/GENE1672/GENE0367/GENE0549/GENE2372/GENE2592/GENE1997/GENE2029/GENE1389/GENE2707/GENE0272/GENE0804/GENE2979/GENE1821/GENE1081/GENE0862/GENE2333/GENE1457/GENE2109/GENE2955/GENE2833/GENE2435/GENE1604/GENE1298/GENE2357/GENE0401/GENE1485/GENE2181/GENE1403/GENE2865/GENE2280/GENE1016/GENE0532/GENE2453/GENE0702/GENE0597/GENE0038/GENE1619/GENE2665/GENE2670/GENE1128/GENE1810/GENE1461/GENE0621/GENE2210/GENE1116/GENE2401/GENE2620/GENE2222/GENE0456/GENE1645/GENE0211/GENE1691/GENE0242/GENE2515/GENE1865/GENE1886/GENE2167/GENE2392
KEGG,KEGG0015,"Apoptosis",GENE0770/GENE1560/GENE1080/GENE1441/GENE0466/GENE1421/GENE2553/GENE0665/GENE1902/GENE1424/GENE0395/GENE1083/GENE1769/GENE1934/GENE1657/GENE2672/GENE1981/GENE1854/GENE1617/GENE0869/GENE0716/GENE2291/GENE1217/GENE1498/GENE2464/GENE2094/GENE0083/GENE2963/GENE2609/GENE2232/GENE2699/GENE1504/GENE0258/GENE0950/GENE0606/GENE1055/GENE0345/GENE2092/GENE2652/GENE0400/GENE0357/GENE0239/GENE2059/GENE2188/GENE0760/GENE1485/GENE0374/GENE1824/GENE1792/GENE2715/GENE1148/GENE2286/GENE2387/GENE2704/GENE0710/GENE0044/GENE2870/GENE1410/GENE0743/GENE0982/GENE2021/GENE2429/GENE0625/GENE1355/GENE0620/GENE2183/GENE2649/GENE1463/GENE0179/GENE1953/GENE1762/GENE0389/GENE0752/GENE2115/GENE2530/GENE0325/GENE1389/GENE2651/GENE2327/GENE1579/GENE1160/GENE1047/GENE1720/GENE2441/GENE2950/GENE2767/GENE2940/GENE2344/GENE1751/GENE2324/GENE0211/GENE0786/GENE1933/GENE0340/GENE1842/GENE1300/GENE0431/GENE1010/GENE2165/GENE1476/GENE2513/GENE1135/GENE2753/GENE1871/GENE0530/GENE1861/GENE0407/GENE2108/GENE2801/GENE2888/GENE1721/GENE0565/FOS/GENE1639/GENE2564/GENE1210/GENE2902/GENE0849/GENE1760/GENE1932/GENE1970/GENE1336/GENE0936/GENE1422/GENE1539/GENE0757/GENE1690/GENE2361/GENE1383/GENE1703/GENE1899/GENE1237/GENE2552/GENE2575/GENE0140/GENE2859/GENE1418/GENE0291/GENE1027/GENE0343/GENE0049/GENE2712/GENE1137/GENE0852/GENE2991/GENE2017/GENE1977/GENE2434/GENE1541/GENE0929/GENE0194/GENE1735/GENE1200/GENE2010/GENE0796/GENE1098/GENE0555/GENE0415/GENE1417/GENE2584/GENE2817/GENE2959/GENE2602/GENE2304/GENE2135/GENE0077/GENE0540/GENE2182/GENE1106/GENE0370/GENE1333/GENE2202/GENE1817/GENE1800/GENE1752
KEGG,KEGG0016,"TNF signaling pathway",GENE0199/GENE0671/GENE2871/GENE1288/GENE2690/GENE1771/GENE2018/GENE1587/GENE2607/GENE1759/GENE2663/GENE1556/GENE1393/GENE1313/GENE0771/GENE2514/GENE0246/GENE2573/GENE2388/GENE2381/GENE0427/GENE2677/GENE2427/GENE1681/GENE2531/GENE2012/GENE2122/GENE1691/GENE2291/GENE1632/GENE0319/GENE1263/GENE2321/GENE2632/GENE2258/GENE2747/GENE0044/GENE1123/GENE0993/GENE0339/GENE0131/GENE2543/GENE2119/GENE0419/GENE2825/GENE1814/GENE1868/GENE0259/GENE0222/GENE1023/GENE2302/GENE0731/GENE1149/GENE2923/GENE2336/GENE1705/GENE1223/GENE1142/GENE1865/GENE1061/GENE0745/GENE2417/GENE2175/GENE1866/GENE2241/GENE0569/GENE1403/GENE1804/GENE2581/GENE1663/GENE1886/GENE0537/GENE1491/GENE0828/GENE2183/GENE0782/GENE1469/GENE1957/GENE2083/GENE2360/GENE0426/GENE1835/GENE0545/GENE0079/GENE0614/GENE1669/GENE1322/GENE0535/GENE0843/GENE0258/GENE1257/GENE0534/GENE0190/GENE0876/GENE0696/GENE1141/GENE1584/GENE1894/GENE0865/GENE2841/GENE1179/GENE1003/GENE1100/GENE2130/GENE2084/GENE0169/GENE1864/GENE1220/GENE2198/GENE0425/GENE2653/GENE0187/GENE0595/GENE1999/CCND1/GENE1282/GENE2459/GENE2949/GENE2220/GENE1028/GENE2197/GENE2916/GENE1840/GENE1329/GENE0075/GENE0141/GENE1075/GENE0948/GENE2524/GENE2592/GENE0276/GENE2326/GENE2112/GENE0665/GENE2828/GENE1014/GENE2609/GENE2881/GENE2139/GENE0428/GENE1358/GENE0163/GENE2045/GENE2443/GENE2693/GENE1132/GENE1435/GENE1089/GENE0868/GENE1219/GENE1391/GENE2082/GENE2247/GENE2991/GENE0636/GENE0358/GENE1043/GENE1477/GENE2035/GENE2750/GENE1550/GENE1735/GENE1343/GENE2109/GENE1697/GENE1138/GENE2547/GENE0111/GENE0148/GENE0247/GENE0305/GENE2061/GENE1707/GENE0446/GENE1399/GENE0825/GENE2611/GENE0887/GENE0034/GENE1111/GENE0679/GENE1162/GENE1335/GENE2945/GENE0801/GENE0336/GENE2246/GENE2593/GENE1843/GENE1200/GENE1194/GENE1586/GENE0214/GENE1440/CXCL10/GENE2873
KEGG,KEGG0017,"JAK-STAT signaling",GENE0323/GENE2313/GENE2033/GENE1864/GENE0378/GENE1295/GENE1416/GENE1565/GENE2897/GENE1817/GENE1248/GENE0707/GENE0217/GENE1412/GENE2456/GENE2467/GENE1408/GENE0190/GENE2344/GENE0411/GENE2516/GENE1938/GENE2116/GENE1239/GENE0055/GENE0930/GENE0283/GENE0715/GENE0549/GENE1037/GENE0246/GENE0333/GENE1433/GENE1897/GENE0928/GENE1599/GENE0500/GENE1300/GENE1912/GENE0093/GENE0260/GENE0656/GENE0644/GENE2374/GENE0505/GENE2769/GENE0471/GENE0228/GENE2713/GENE2148/GENE0096/GENE2526/GENE1268/GENE2503/GENE2644/GENE1758/GENE1559/GENE0119/GENE2978/GENE2175/GENE1411/GENE0163/GENE2506/GENE1833/GENE0486/GENE1147/GENE0223/GENE2593/GENE1619/GENE0946/GENE1580/GENE2279/GENE0205/GENE0923/GENE2617/GENE1366/GENE1095/GENE2401/GENE1100/GENE0366/GENE2143/GENE1308/GENE2601/GENE1854/GENE0963/GENE0076/GENE0336/GENE2942/GENE1199/GENE2825/GENE0891/GENE2192/GENE2662/GENE0569/GENE0696/GENE1804/GENE0194/GENE1807/GENE2610/GENE1394/GENE0370/GENE2077/GENE1624/GENE1299/GENE2470/GENE0599/GENE0679/GENE2699/GENE0112/GENE1242/GENE0728/GENE1399/GENE1280/GENE0424/GENE2943/GENE0335/GENE0086/GENE2867/GENE2135/GENE2290/GENE1625/GENE1138/GENE1532/GENE1343/GENE0812/GENE2982/GENE0405/GENE0600/GENE0492/GENE1568/GENE0770/GENE2515/GENE0534/GENE2840/GENE1621/GENE2687/GENE2050/GENE2023/GENE1405/GENE1330/GENE0070/GENE1919/GENE2799/GENE2422/GENE1922/GENE1651/GENE1729/GENE0766/GENE0353/GENE1530/GENE1445/GENE2956/GENE0678/GENE1662/GENE0149/GENE0142/GENE2917/GENE2362/GENE1251/GENE0489/FOS/GENE0466/GENE0916/TP53/GENE2388/GENE0090/GENE0038/GENE0634/GENE2964/GENE2767/GENE2973/GENE0503/GENE2649/GENE2994/GENE0225/GENE1415/GENE2947/GENE1454/GENE2857/GENE0880/GENE1600/GENE1115/GENE2648/GENE2419/GENE2288/GENE0669/GENE0211/GENE1063/GENE0991/GENE2312/GENE1829/GENE2184/GENE1955/GENE2837/GENE1590/GENE2075/GENE0629/GENE1533/GENE1074/GENE2826/GENE2848/GENE2305/GENE2008/GENE0630/GENE1763/GENE0398/GENE0692/GENE2922/GENE2543/GENE2330/GENE1888/GENE0202/GENE2500/GENE2859/GENE0959/GENE1541/GENE1211/GENE0383/GENE2124/GENE0814/GENE1687/GENE0104/GENE2694/GENE0809/GENE0636/GENE2080/GENE2927/GENE2072/GENE2984/GENE0777/GENE1059/GENE0716/GENE2581/GENE1697/GENE0860/GENE1726/GENE2888/GENE1451/GENE2834/GENE0783/GENE1068/GENE0687/GENE1869/GENE1284/GENE1275/GENE2758/GENE2315/GENE1304/GENE1552/GENE2281/GENE1000/GENE1649/GENE1099/GENE2991/GENE1076/GENE0673/GENE0110/GENE2205/GENE1547/GENE1178/GENE1255/GENE1549/GENE1591/GENE1581/GENE1420/GENE0338/GENE0988/GENE1006/GENE0954/GENE2985/GENE1566/GENE2200/GENE2589/GENE0067/GENE0477/GENE1231/GENE2012/GENE0479/GENE2852/GENE2536/GENE2303/GENE1706/GENE2217/GENE1298/GENE2502/GENE1414/GENE1707/GENE1460/GENE1041/GENE1609/GENE0625
KEGG,KEGG0018,"HIF-1 signaling",GENE0066/GENE2456/GENE2116/GENE0279/GENE1502/GENE2779/GENE2435/GENE1223/GENE1464/GENE0322/GENE1902/GENE1818/GENE1170/GENE0592/GENE1232/GENE1288/GENE1083/GENE2562/GENE0933/GENE2127/GENE1080/GENE1248/GENE1993/GENE1765/GENE0365/GENE1576/GENE2363/GENE2931/GENE1657/GENE0798/GENE2851/GENE2509/GENE2794/GENE2772/GENE1213/GENE0310/GENE2643/GENE0921/GENE2910/GENE2636/GENE0517/GENE2399/GENE1650/GENE0356/GENE1610/GENE1098/GENE2278/GENE2398/GENE0154/GENE2096/GENE2039/GENE2835/GENE2019/GENE1175/GENE0156/GENE2124/GENE2708/GENE0290/GENE1935/GENE2954/GENE2043/GENE1207/GENE1535/GENE2956/GENE2965/GENE2477/GENE1969/GENE1620/GENE1162/GENE0777/GENE2542/GENE0742/GENE2840/GENE1604/GENE2258/GENE0107/GENE0810/GENE1952/GENE2905/GENE1802/GENE2113/GENE2946/GENE0428/GENE2395/GENE2900/GENE0794/GENE0383/GENE1146/GENE2780/GENE2880/GENE2097/GENE1826/GENE2049/GENE0495/INS/GENE0897/GENE1582/GENE0550/GENE2255/GENE0269/GENE2635/GENE2848/GENE0684/GENE1132/GENE0412/GENE2913/GENE1122/GENE2276/GENE0139/GENE0151/GENE0989/GENE0844/GENE2824/GENE1381/GENE1763/GENE2263/GENE1045/GENE2691/GENE1613/GENE0337/GENE2951/GENE0852/GENE1301/GENE0604/GENE1581/GENE1996/GENE1565/GENE2704/GENE1592/GENE0708/GENE2136/GENE2468/GENE0355/GENE1126/GENE0188/GENE2480/GENE2591/GENE1447/GENE1197/GENE2832/GENE0259/MMP9/GENE2335/GENE2442/GENE0132/GENE1492/GENE0675/GENE0246/GENE2305/GENE0317/GENE1661/GENE0116/GENE0325/GENE2663/GENE1187/GENE2411/GENE0361/GENE0433/GENE1120/GENE1514/GENE1825/GENE2747/GENE1735/GENE2987/GENE0258/GENE1388/GENE0413/GENE2012/GENE2340/GENE0693/GENE0114/GENE1142/GENE0333/GENE0178/GENE1483/GENE1879/GENE1972/GENE0991/GENE0492/GENE0567/GENE0126/GENE0969/GENE2500/GENE2059/GENE1166/GENE2580/GENE1792/GENE0865/GENE1945/GENE1247
Reactome,Reactome0019,"Interferon Signaling",GENE1456/GENE0699/GENE1877/GENE0612/GENE0066/GENE1375/GENE2985/GENE2313/GENE2822/GENE1321/GENE0803/GENE0194/GENE1556/GENE2193/GENE1766/GENE2515/GENE1652/GENE1340/GENE1473/GENE2143/GENE1155/GENE1015/GENE2591/GENE0975/GENE2680/GENE1725/GENE2778/GENE2488/GENE2849/GENE2581/GENE0774/GENE0903/GENE0285/GENE1480/GENE0093/GENE0288/GENE2382/GENE0784/GENE1280/GENE1901/GENE2454/GENE2500/GENE0675/GENE0366/GENE2871/GENE0959/GENE1121/GENE1972/GENE2205/GENE2234/GENE0988/GENE2546/GENE0881/GENE1412/GENE0958/GENE1177/GENE1745/GENE2182/GENE2312/GENE0327/GENE1649/GENE0388/GENE2914/GENE2259/GENE2235/GENE2624/GENE1989/GENE0118/GENE1156/GENE1247/GENE2087/GENE0365/GENE1866/GENE1742/GENE1744/GENE2714/GENE2852/GENE1498/GENE0917/GENE2858/GENE0079/GENE2374/GENE1188/GENE1912/GENE2171/GENE0694/GENE1292/GENE2642/GENE0713/GENE0549/GENE2855/GENE1730/GENE2393/GENE2295/GENE1530/GENE2884/GENE1249/GENE2407/GENE0532/GENE0361/GENE1056/GENE2007/GENE0976/GENE1859/GENE1845/GENE1179/GENE0264/GENE2563/GENE1469/GENE1678/GENE1636/GENE1497/GENE1878/GENE0049/GENE2902/GENE0825/GENE2595/GENE1429/GENE1634/GENE0507/GENE0328/GENE1881/GENE0485/GENE0991/GENE2059/GENE1003/GENE0376/GENE2360/GENE1792/GENE1588/GENE1253/GENE2222/GENE2552/GENE2194/GENE0255/GENE1658/GENE1393/GENE0495/GENE1948/GENE1149/GENE2671/GENE2325/GENE1939/GENE1549/GENE2553/GENE1120/GENE2495/GENE0668/GENE1544/GENE0360/GENE1788/GENE0661/GENE1574/GENE1776/GENE0114/GENE2116/GENE0383/GENE2929/GENE0941/GENE1825/GENE0147/GENE1101/GENE2236/GENE0473/GENE1296/GENE2590/GENE1277/GENE1291/GENE1125/GENE0734/GENE0492/GENE2541/GENE0455/GENE1460/GENE2665/GENE0735/GENE2481/GENE2250/GENE0723/GENE2046/GENE0119/GENE1256/GENE0209/GENE0202/GENE2357/GENE0368/GENE0109/GENE0206/GENE1654/GENE2240/GENE2368/GENE2571/GENE1102/GENE0259/GENE2976/GENE0948/GENE1368/GENE0957/GENE2399/GENE0554/GENE0428/GENE0728/GENE2431/GENE0805/GENE2792/GENE2440/GENE0499/GENE2207/GENE1100/GENE1279/GENE1462/GENE1218/GENE0102/GENE0308/GENE2093/CDKN1A/GENE2741/GENE0126/GENE1145/GENE0063/GENE0045/GENE2867/GENE1854/GENE0171/GENE2857/GENE1314/GENE2782/GENE2061/GENE1871/GENE2832/GENE0910/GENE0752/GENE1771/GENE0786/GENE2366/GENE2373/GENE2391/GENE2174/GENE1681/GENE0966/GENE0950/GENE1058/GENE2277/GENE1316/GENE2932/GENE2333/GENE0652/GENE1639/GENE1679/GENE2736/GENE1433/GENE0363/GENE2791/GENE0325/GENE0639/GENE2922/GENE2711/GENE0133/GENE2475/GENE1449/GENE2762/GENE2973/GENE2946/GENE1984/GENE0351/GENE1790/GENE0084/GENE0724/GENE0726/GENE1761/GENE2233/GENE1928/GENE0792/GENE2625/GENE2640/GENE0731/GENE0438/GENE2800/GENE1434
Reactome,Reactome0020,"Cell Cycle Checkpoints",GENE1174/GENE2463/GENE2899/GENE1424/GENE2985/GENE2639/GENE1881/GENE2849/GENE1055/GENE2798/GENE0975/GENE1104/GENE2754/GENE1925/GENE0889/GENE0403/GENE1453/GENE0265/GENE1690/GENE2324/GENE2076/GENE2487/GENE2977/GENE2637/GENE0981/GENE0373/GENE0032/GENE1467/GENE1970/GENE1118/GENE2532/GENE0209/GENE0980/GENE2567/GENE1672/GENE1343/GENE1965/GENE0959/GENE0999/GENE1369/GENE0266/GENE0432/GENE1898/GENE0118/GENE0180/GENE2790/GENE0761/GENE2228/GENE2847/GENE2837/GENE0598/GENE2100/GENE2173/INS/GENE2050/GENE0929/GENE2770/GENE0187/GENE2251/GENE1070/GENE2549/GENE2066/GENE2301/GENE0089/GENE0888/GENE2975/GENE0488/GENE1642/GENE0822/GENE0355/GENE2541/GENE1517/GENE1593/GENE1064/GENE0493/GENE2762/GENE1188/GENE1927/GENE1750/GENE2588/GENE1010/GENE2598/GENE0943/GENE0566/GENE2230/GENE2586/GENE2084/GENE2916/GENE2037/GENE1245/GENE1378/GENE2712/GENE2696/GENE1778/GENE1026/GENE1204/GENE1108/GENE1649/GENE1256/GENE1864/GENE1014/GENE2865/GENE0066/GENE1700/GENE2426/GENE0152/GENE1968/TNF/GENE1091/GENE2804/GENE0160/GENE2057/GENE2631/GENE0621/GENE1628/GENE1508/GENE2036/GENE2466/GENE0973/GENE2212/GENE2726/GENE1234/GENE2513/GENE2785/GENE1788/GENE0276/GENE0727/GENE1860/GENE0604/GENE0450/GENE0529/GENE0690/GENE0280/GENE0666/GENE1677/GENE2641/GENE1532/GENE2263/GENE2923/GENE2456/GENE0827/GENE1759/GENE0208
Reactome,Reactome0021,"Signaling by Interleukins",GENE0909/GENE0106/GENE1755/GENE0219/GENE2649/GENE1837/GENE0382/GENE0798/GENE2970/GENE0628/GENE0919/GENE1443/GENE0510/GENE0836/GENE0244/GENE1037/GENE2463/GENE0964/GENE2334/GENE2782/GENE1170/GENE2655/GENE0575/GENE1937/GENE1936/GENE0430/GENE2260/GENE1386/GENE2504/GENE1603/GENE0451/GENE2631/GENE1858/GENE1796/GENE2696/GENE1262/GENE0717/GENE1708/GENE2439/GENE2764/GENE2766/GENE2524/GENE2054/GENE1392/GENE0671/GENE0581/GENE2593/GENE1244/GENE2023/GENE0448/GENE1409/GENE1635/GENE1514/GENE0746/GENE1245/GENE1740/GENE1075/GENE0677/GENE1463/GENE0096/GENE1083/GENE2255/GENE1266/GENE1421/GENE1531/GENE0891/GENE0431/GENE1992/GENE2199/GENE2844/GENE2449/GENE2623/GENE0834/GENE2292/GENE1205/GENE0435/GENE1574/GENE2745/GENE0680/GENE2433/GENE0150/GENE0663/GENE0979/GENE0196/GENE0325/GENE2714/GENE0328/GENE1412/GENE2617/GENE1750/GENE1254/GENE2828/GENE1781
Reactome,Reactome0022,"Programmed Cell Death",GENE1213/GENE2488/GENE1062/GENE1091/GENE2633/GENE0547/GENE1731/GENE1456/GENE1950/GENE0373/GENE1866/GENE0842/GENE1965/GENE2127/GENE2253/GENE1644/GENE1361/GENE2376/GENE1473/GENE0734/GENE1881/GENE2594/GENE1587/GENE0670/GENE0927/GENE0634/GENE2378/GENE1547/GENE2351/GENE1277/GENE1109/GENE0546/GENE2422/CXCL10/GENE1337/GENE0622/GENE1184/GENE0883/GENE1066/GENE2936/GENE0283/GENE2232/GENE1689/GENE2839/GENE0589/GENE1263/GENE0987/GENE1939/GENE1837/GENE1917/INS/GENE1193/GENE0155/GENE1735/GENE0196/GENE0077/GENE0433/GENE0040/GENE1695/GENE2001/GENE1422/GENE0968/GENE1905/GENE1192/GENE1801/GENE1696/GENE1561/GENE2909/GENE1153/GENE2871/GENE2905/GENE1805/GENE1485/GENE0237/GENE2005/GENE0080/GENE2588/GENE1415/GENE1614/GENE2396/GENE0117/GENE1605/GENE0207/GENE0496/GENE0645/GENE0772/GENE2831/GENE2249/GENE0390/GENE2261/GENE1856/GENE1332/GENE2064/GENE2342/GENE0728/GENE0261/GENE1334/GENE1034/GENE0538/GENE3000/GENE0128/GENE2974/GENE0069/GENE2854/GENE0437/GENE1135/GENE2438/GENE1229/GENE0104/GENE0720/GENE2539/JUN/GENE1781/GENE2902/GENE1331/GENE1524/GENE0990/GENE0504/GENE1462/GENE1907/GENE2605/GENE0273/GENE0305/GENE1018/GENE1026/GENE1497/GENE1666/GENE2526/GENE1227/GENE2475/GENE0349/GENE1060/GENE2299/GENE1218/GENE1789/GENE1443/GENE0429/GENE0197/GENE2220/GENE0778/BCL2/GENE2186/GENE2172/GENE2569/GENE1816/GENE2359/GENE2267/GENE2699/GENE2285/GENE0642/GENE1458/GENE0093/GENE2346/GENE2510/GENE2683/GENE0654/GENE1152/GENE0066/GENE1167/GENE0389/GENE0052/GENE0248/GENE1194/GENE1209/GENE0695/GENE0092/GENE1142/GENE1131/GENE1403/GENE2624/GENE2006/GENE2288/GENE1476/GENE2774/GENE1639/GENE1064/GENE0752/GENE1076/GENE1775/GENE2037/GENE0269/GENE2760/GENE0901/GENE0156/GENE2429/GENE2326/GENE0832/GENE2392/GENE1138/GENE2047/GENE2621/GENE2575/GENE1519/GENE1875/GENE0788/GENE0190/GENE1394/GENE0973/GENE2377/GENE1058/GENE1441/GENE2869/GENE1623/GENE0782/GENE2915/GENE1479/GENE0552/GENE0436/GENE2725/GENE1223/ACTB/GENE0044/GENE1616/GENE1618/GENE1379/GENE2439/GENE2982/GENE2595/GENE1668/MKI67/GENE0463/GENE2611/GENE2434
