gene_id,gene_name,WT_1,WT_2,WT_3,WT_4,KO_1,KO_2,KO_3,KO_4
ENSG00010000753,GENE0754,187.44,69.65,57.65,53.62,70.96,121.80,137.27,84.90
ENSG00010000754,GENE0755,53.12,105.29,54.61,83.72,58.87,63.98,88.47,55.83
ENSG00010000755,GENE0756,146.41,166.96,135.40,132.90,151.67,95.70,158.40,128.55
ENSG00010000756,GENE0757,439.42,368.10,366.31,281.89,332.00,305.73,259.62,254.39
ENSG00010000757,GENE0758,414.77,297.66,330.43,353.16,307.94,246.60,168.38,304.82
ENSG00010000758,GENE0759,74.43,107.70,122.24,55.59,108.57,96.70,72.11,103.40
ENSG00010000759,GENE0760,10.51,6.58,5.70,5.06,5.63,6.58,10.40,6.11
ENSG00010000760,GENE0761,481.20,448.70,621.82,595.88,1181.46,1083.70,1718.87,1255.14
ENSG00010000761,GENE0762,647.03,479.71,468.78,554.05,373.59,242.26,448.82,286.10
ENSG00010000762,GENE0763,3430.76,2143.10,2770.11,3641.97,3222.56,2073.64,3006.93,3080.02
ENSG00010000763,GENE0764,4.65,6.29,6.88,3.46,8.92,7.01,8.96,8.85
ENSG00010000764,GENE0765,205.35,165.00,235.08,146.63,156.15,181.90,167.28,169.54
ENSG00010000765,GENE0766,4.79,8.55,7.46,6.78,5.69,7.27,5.32,6.37
ENSG00010000766,GENE0767,3606.23,1983.74,4857.99,2800.20,2063.92,1589.88,2323.88,2177.45
ENSG00010000767,GENE0768,1860.57,1478.90,816.08,1278.70,1669.85,2374.61,973.20,2147.29
ENSG00010000768,GENE0769,389.87,326.09,370.18,301.47,680.70,347.88,358.84,260.92
ENSG00010000769,GENE0770,1145.94,1720.15,2109.15,1595.28,148.76,273.81,239.46,278.41
ENSG00010000770,GENE0771,205.14,270.65,252.04,208.21,122.43,103.59,149.56,81.83
ENSG00010000771,GENE0772,22.90,19.75,18.40,14.49,26.86,26.39,20.38,21.22
ENSG00010000772,GENE0773,13.08,8.06,7.46,9.28,14.17,10.81,11.31,7.27
ENSG00010000773,GENE0774,458.31,339.68,372.59,337.40,500.63,588.99,451.17,632.23
ENSG00010000774,GENE0775,547.99,460.19,257.60,263.06,505.93,373.85,413.41,480.77
ENSG00010000775,GENE0776,1147.17,1235.00,946.92,1205.43,1076.09,2619.42,1695.05,1353.71
ENSG00010000776,GENE0777,2783.90,2808.06,3102.69,3253.34,2292.19,2604.29,3321.21,2252.71
ENSG00010000777,GENE0778,90.97,87.96,94.63,85.31,93.16,125.88,125.66,77.77
ENSG00010000778,GENE0779,128.95,131.90,125.10,102.62,135.87,150.30,169.20,171.78
ENSG00010000779,GENE0780,307.38,395.16,326.96,419.48,265.86,435.09,342.98,326.48
ENSG00010000780,GENE0781,2974.38,2454.25,2069.31,2492.00,3574.39,4032.98,5041.11,3806.96
ENSG00010000781,GENE0782,57.93,56.52,43.75,107.28,98.15,65.35,63.70,73.18
ENSG00010000782,GENE0783,270.03,292.80,351.05,416.88,542.82,357.23,500.01,366.23
ENSG00010000783,GENE0784,1877.85,1304.96,2340.80,1917.00,2005.83,1861.35,1588.92,2953.14
ENSG00010000784,GENE0785,87.74,127.10,119.08,103.55,108.13,108.43,107.96,110.08
ENSG00010000785,GENE0786,628.31,334.77,439.44,396.02,350.04,360.39,425.88,556.19
ENSG00010000786,GENE0787,158.88,200.50,235.08,156.51,153.81,156.80,175.26,213.47
ENSG00010000787,GENE0788,16.93,9.65,17.90,17.31,14.21,15.88,13.38,16.90
ENSG00010000788,GENE0789,238.73,204.36,354.57,292.96,227.51,369.74,209.54,278.10
ENSG00010000789,GENE0790,66.89,51.14,65.71,73.96,68.39,73.12,67.58,81.82
ENSG00010000790,GENE0791,34.41,18.51,21.36,33.58,18.32,17.74,17.49,12.48
ENSG00010000791,GENE0792,59.06,109.11,104.03,74.32,94.37,79.78,109.11,81.93
ENSG00010000792,GENE0793,4.93,5.96,5.58,6.61,4.74,5.64,3.22,5.72
ENSG00010000793,GENE0794,34.06,37.67,51.28,32.44,8.76,11.46,9.72,8.75
ENSG00010000794,GENE0795,108.87,74.00,86.31,115.89,341.82,500.12,504.30,301.16
ENSG00010000795,GENE0796,8.70,5.59,6.48,4.34,9.63,13.48,5.95,7.94
ENSG00010000796,GENE0797,114.52,125.72,109.53,102.26,129.39,116.97,208.65,109.46
ENSG00010000797,GENE0798,738.94,891.49,1107.84,987.02,706.91,513.96,663.49,785.67
ENSG00010000798,GENE0799,1693.73,2422.65,2972.80,2570.34,3286.90,3346.72,3491.72,2049.99
ENSG00010000799,GENE0800,59.40,67.98,67.43,86.51,63.86,114.82,97.10,117.07
ENSG00010000800,GENE0801,447.32,688.67,816.45,595.44,619.18,342.26,354.09,750.66
ENSG00010000801,GENE0802,1915.56,1278.43,1646.44,2069.15,1199.12,908.62,1353.86,1199.57
ENSG00010000802,GENE0803,1110.83,795.37,584.60,1110.10,6941.55,7911.48,6578.11,9309.90
ENSG00010000803,GENE0804,1360.76,1003.74,1666.07,1030.75,1355.04,2286.45,1415.57,1533.30
ENSG00010000804,GENE0805,33.50,32.71,31.72,24.95,25.97,45.53,23.01,20.22
ENSG00010000805,GENE0806,3.10,5.13,3.91,3.73,4.71,6.18,7.05,5.42
ENSG00010000806,GENE0807,1297.09,786.26,1236.26,1002.13,1239.02,1102.43,956.54,1073.42
ENSG00010000807,GENE0808,30.23,36.37,42.18,38.46,48.37,39.05,43.44,43.43
ENSG00010000808,GENE0809,5.19,6.44,8.94,5.81,3.92,6.02,5.77,4.68
ENSG00010000809,GENE0810,292.33,422.73,513.03,299.59,331.89,615.50,307.43,409.35
ENSG00010000810,GENE0811,73.58,66.44,44.44,49.12,70.14,49.68,58.19,60.92
ENSG00010000811,GENE0812,16.85,12.08,13.09,10.90,10.95,9.60,9.14,9.26
ENSG00010000812,GENE0813,18.72,17.51,22.64,18.63,1.41,2.71,2.24,2.45
ENSG00010000813,GENE0814,907.06,1372.20,2055.36,1083.76,1806.90,1382.02,2037.09,1115.38
ENSG00010000814,GENE0815,13.40,11.58,20.50,12.15,9.85,12.10,14.66,18.48
ENSG00010000815,GENE0816,22.46,29.36,29.11,43.00,17.83,14.31,23.85,16.51
ENSG00010000816,GENE0817,22.32,25.12,25.49,25.78,43.05,25.05,26.75,26.29
ENSG00010000817,GENE0818,266.58,316.65,240.60,231.80,261.03,264.26,259.23,161.30
ENSG00010000818,GENE0819,310.74,228.94,294.31,412.69,278.47,293.36,313.13,327.11
ENSG00010000819,GENE0820,584.57,503.28,733.23,685.62,777.73,937.53,652.65,982.66
ENSG00010000820,GENE0821,16.40,23.73,25.58,22.66,26.10,15.56,19.94,26.00
ENSG00010000821,GENE0822,146.09,96.25,73.47,144.42,174.95,102.34,82.55,76.79
ENSG00010000822,GENE0823,15.66,17.06,13.71,11.81,19.04,23.09,17.97,21.47
ENSG00010000823,GENE0824,1773.09,1508.99,1749.46,1822.49,354.33,269.20,336.12,177.75
ENSG00010000824,GENE0825,103.90,103.95,180.27,216.32,165.95,134.89,132.50,246.33
ENSG00010000825,GENE0826,14.09,11.17,10.39,9.88,9.65,10.48,11.62,8.03
ENSG00010000826,GENE0827,64.85,118.22,93.99,135.20,110.21,132.07,154.72,79.82
ENSG00010000827,GENE0828,6.78,11.53,7.46,4.47,6.23,4.98,5.53,6.73
ENSG00010000828,GENE0829,17.16,24.88,15.18,14.75,12.13,18.44,19.90,25.72
ENSG00010000829,GENE0830,874.26,1292.71,1353.30,1048.91,1140.62,938.34,1561.04,986.50
ENSG00010000830,GENE0831,378.04,392.10,406.40,359.64,2623.92,3091.81,2362.36,2236.28
ENSG00010000831,GENE0832,585.95,735.78,372.75,965.69,759.56,878.56,991.61,1086.36
ENSG00010000832,GENE0833,95.06,114.24,109.32,73.72,51.08,67.76,103.51,105.45
ENSG00010000833,GENE0834,3268.39,2262.01,2233.21,1722.54,3164.73,2281.29,2968.55,2787.87
ENSG00010000834,GENE0835,36.71,49.70,46.80,31.82,61.19,44.13,36.60,52.08
ENSG00010000835,GENE0836,137.59,166.80,166.09,153.87,100.19,80.27,74.07,126.54
ENSG00010000836,GENE0837,414.60,553.61,360.11,372.89,277.72,432.97,325.81,603.40
ENSG00010000837,GENE0838,110.75,83.96,99.81,133.81,74.14,103.33,108.24,98.56
ENSG00010000838,GENE0839,254.84,251.71,211.07,292.70,240.14,446.51,195.69,141.38
ENSG00010000839,GENE0840,1631.34,2041.91,2311.25,2503.79,2620.92,2101.45,1640.48,2093.45
ENSG00010000840,GENE0841,1497.57,639.42,841.00,802.69,1131.82,903.26,806.61,759.57
ENSG00010000841,GENE0842,1938.85,1978.09,1862.13,2570.11,12311.91,11158.31,12487.52,8800.86
ENSG00010000842,GENE0843,2645.93,1712.71,2802.85,2155.01,1515.05,1301.27,1370.07,1731.17
ENSG00010000843,GENE0844,241.36,321.69,240.26,264.66,200.02,244.73,225.01,326.76
ENSG00010000844,GENE0845,55.39,32.42,34.69,51.01,48.83,40.18,43.96,38.77
ENSG00010000845,GENE0846,118.97,263.59,174.16,286.60,134.87,233.90,173.29,127.07
ENSG00010000846,GENE0847,22.74,34.32,41.11,44.98,44.31,41.00,25.76,48.28
ENSG00010000847,GENE0848,8.16,8.13,7.81,7.76,8.63,8.71,6.90,12.56
ENSG00010000848,GENE0849,61.84,59.26,58.53,41.35,50.84,42.14,50.50,39.72
ENSG00010000849,GENE0850,479.83,336.98,421.26,441.98,477.38,524.10,461.62,401.38
ENSG00010000850,GENE0851,10.63,14.39,15.49,5.86,7.59,10.05,10.39,8.22
ENSG00010000851,GENE0852,720.44,412.04,585.45,584.35,373.98,503.69,590.13,381.26
ENSG00010000852,GENE0853,11.11,13.23,11.56,12.19,10.43,9.68,17.25,10.47
ENSG00010000853,GENE0854,16.02,15.36,21.06,12.80,2.28,1.95,2.21,1.67
ENSG00010000854,GENE0855,51.01,69.04,94.22,110.15,420.82,264.74,344.10,290.11
ENSG00010000855,GENE0856,541.15,585.13,581.42,605.45,907.97,450.20,438.23,547.87
ENSG00010000856,GENE0857,77.01,39.61,42.75,32.36,52.84,61.93,39.45,94.05
ENSG00010000857,GENE0858,31.04,29.04,40.98,57.57,5.80,6.56,5.65,4.30
ENSG00010000858,GENE0859,1247.57,2052.97,1124.85,1309.75,1099.47,1783.11,1477.67,1195.83
ENSG00010000859,GENE0860,3920.66,3492.15,2503.12,3709.78,3067.03,1998.81,2922.04,3800.69
ENSG00010000860,GENE0861,163.48,164.59,213.45,153.33,115.93,149.63,161.49,163.45
ENSG00010000861,GENE0862,5.67,4.71,3.81,7.26,6.94,4.90,5.68,5.58
ENSG00010000862,GENE0863,457.37,584.74,403.14,804.96,341.11,452.46,710.66,317.47
ENSG00010000863,GENE0864,53.87,89.45,41.41,36.25,54.20,40.23,68.85,81.26
ENSG00010000864,GENE0865,27.92,46.44,23.80,22.03,26.74,32.85,23.92,24.43
ENSG00010000865,GENE0866,1969.27,2796.44,1981.06,1718.56,1977.55,2143.09,1598.55,1964.35
ENSG00010000866,GENE0867,379.16,659.04,498.89,801.21,4570.43,4259.14,3663.01,3065.45
ENSG00010000867,GENE0868,150.00,182.56,200.53,277.62,275.03,243.97,123.85,192.17
ENSG00010000868,GENE0869,15.05,18.24,15.92,13.45,16.28,21.50,16.24,21.96
ENSG00010000869,GENE0870,189.52,163.10,307.01,192.23,452.64,541.71,803.08,526.74
ENSG00010000870,GENE0871,16.85,10.80,9.08,6.46,34.00,26.36,29.36,21.76
ENSG00010000871,GENE0872,31.97,37.08,49.75,27.88,28.97,42.79,73.58,35.71
ENSG00010000872,GENE0873,40.88,28.88,33.62,37.59,35.34,46.11,35.64,29.19
ENSG00010000873,GENE0874,1292.22,960.62,1114.26,712.07,823.14,1282.82,720.55,1427.04
ENSG00010000874,GENE0875,13.52,12.93,12.36,14.55,13.35,7.77,11.85,11.60
ENSG00010000875,GENE0876,32.95,34.69,41.21,65.62,43.37,65.73,36.26,54.29
ENSG00010000876,GENE0877,1919.39,2379.92,1711.42,1874.15,2221.49,2402.70,1900.96,1897.80
ENSG00010000877,GENE0878,1033.49,1477.05,854.52,1192.91,957.23,768.37,597.82,1320.08
ENSG00010000878,GENE0879,206.89,102.44,143.29,146.75,119.14,149.27,90.50,116.24
ENSG00010000879,GENE0880,1151.09,1561.93,1649.16,1097.87,2094.11,1550.11,2199.43,975.15
ENSG00010000880,GENE0881,120.35,128.48,144.51,191.26,243.07,184.34,210.73,154.69
ENSG00010000881,GENE0882,2786.72,2592.47,2392.14,2501.59,1011.89,784.85,787.27,1271.15
ENSG00010000882,GENE0883,1879.83,1389.81,1499.76,1690.12,1538.75,1337.69,1682.26,1927.68
ENSG00010000883,GENE0884,5540.70,3359.84,3533.71,4070.20,2979.76,2606.94,2614.45,3367.98
ENSG00010000884,GENE0885,1689.77,2004.91,1887.22,1381.07,1921.49,2144.95,2432.98,1950.70
ENSG00010000885,GENE0886,405.17,493.77,468.72,484.41,420.99,676.15,423.75,583.93
ENSG00010000886,GENE0887,344.32,316.98,435.61,337.27,430.83,455.66,269.50,469.45
ENSG00010000887,GENE0888,26.97,35.48,25.40,26.56,30.34,16.23,23.85,35.03
ENSG00010000888,GENE0889,366.68,272.71,310.63,251.65,217.19,211.84,205.95,217.40
ENSG00010000889,GENE0890,104.02,128.74,88.62,107.63,132.58,88.70,140.59,101.42
ENSG00010000890,GENE0891,140.37,172.60,145.66,204.62,151.50,107.67,110.19,105.98
ENSG00010000891,GENE0892,70.60,85.01,48.58,68.57,63.51,67.62,35.52,29.50
ENSG00010000892,GENE0893,3830.40,3506.28,3389.59,3544.04,3149.23,1972.63,4018.36,4537.31
ENSG00010000893,GENE0894,2642.16,2761.43,2092.75,2198.29,318.07,676.31,604.85,808.32
ENSG00010000894,GENE0895,1109.82,1376.19,1489.91,1240.90,1403.01,1478.99,1488.55,1170.56
ENSG00010000895,GENE0896,21.13,13.36,16.05,18.51,19.89,26.80,23.48,17.19
ENSG00010000896,GENE0897,117.09,60.89,74.66,105.59,85.93,81.14,55.71,124.21
ENSG00010000897,GENE0898,129.44,123.93,137.17,116.92,98.83,78.38,126.53,103.00
ENSG00010000898,GENE0899,458.20,460.45,412.90,442.81,236.14,319.81,257.87,362.36
ENSG00010000899,GENE0900,8.32,3.73,8.05,6.12,9.13,8.40,8.68,8.69
ENSG00010000900,GENE0901,796.96,670.02,649.38,739.68,890.67,850.83,678.33,1131.87
ENSG00010000901,GENE0902,7.89,13.13,13.00,19.06,14.22,11.23,16.66,13.08
ENSG00010000902,GENE0903,59.99,78.75,87.28,60.89,69.40,82.99,92.92,59.67
ENSG00010000903,GENE0904,24.39,21.56,14.75,39.15,26.38,22.55,26.90,25.04
ENSG00010000904,GENE0905,11.35,14.13,19.03,17.98,11.42,18.79,15.49,13.44
ENSG00010000905,GENE0906,68.18,60.19,64.41,54.82,61.14,67.39,73.19,37.84
ENSG00010000906,GENE0907,317.49,245.82,289.59,234.98,377.31,334.61,268.53,221.20
ENSG00010000907,GENE0908,2963.37,2720.78,2793.56,3099.26,3226.58,2526.53,4251.20,3477.66
ENSG00010000908,GENE0909,7.14,6.50,8.13,4.96,32.91,33.10,38.93,53.22
ENSG00010000909,GENE0910,12.78,14.03,14.70,15.34,10.71,15.66,11.56,19.25
ENSG00010000910,GENE0911,2039.61,1488.08,2075.58,1152.00,1125.43,1119.17,1601.70,1586.24
ENSG00010000911,GENE0912,1647.80,1916.93,1791.01,2612.66,200.03,378.93,383.73,256.88
ENSG00010000912,GENE0913,3252.52,3452.77,4160.09,3823.30,2565.36,4444.63,4796.62,3786.12
ENSG00010000913,GENE0914,44.66,103.95,111.31,105.04,120.27,140.86,161.14,79.25
ENSG00010000914,GENE0915,71.45,82.68,83.90,120.72,96.29,114.12,77.53,99.95
ENSG00010000915,GENE0916,4243.89,3801.99,5058.65,2154.55,5541.50,3811.07,3050.83,3798.84
ENSG00010000916,GENE0917,31.03,19.80,23.79,21.58,26.19,22.49,16.67,16.38
ENSG00010000917,GENE0918,1878.14,3011.98,2474.30,2867.09,2571.70,3336.69,2210.87,2248.89
ENSG00010000918,GENE0919,40.93,76.54,54.45,52.71,96.43,147.18,90.83,153.04
ENSG00010000919,GENE0920,1966.70,2377.19,2831.33,2470.16,2884.02,1906.98,3052.66,1938.80
ENSG00010000920,GENE0921,166.96,166.28,116.76,87.80,88.53,78.61,104.28,81.46
ENSG00010000921,GENE0922,641.45,602.27,950.16,482.82,357.89,539.62,489.64,624.31
ENSG00010000922,GENE0923,1203.11,1394.59,1484.73,1113.33,1922.89,1399.86,1625.28,2058.79
ENSG00010000923,GENE0924,709.72,557.43,494.71,613.87,414.20,641.93,680.31,935.42
ENSG00010000924,GENE0925,1265.95,898.08,1210.13,1013.95,1553.85,1094.86,1778.69,1494.33
ENSG00010000925,GENE0926,786.82,974.25,1483.61,913.46,753.86,1337.83,1032.48,899.50
ENSG00010000926,GENE0927,87.82,109.25,74.16,116.48,125.43,71.48,65.68,107.45
ENSG00010000927,GENE0928,13.27,17.28,19.50,18.30,15.90,13.92,13.57,15.18
ENSG00010000928,GENE0929,119.76,88.56,84.51,72.27,91.71,93.85,87.98,78.89
ENSG00010000929,GENE0930,13.30,13.57,12.39,14.29,16.89,14.49,15.55,16.53
ENSG00010000930,GENE0931,13.78,8.07,12.37,15.15,9.52,8.73,16.52,12.94
ENSG00010000931,GENE0932,87.21,168.38,114.72,110.92,104.48,82.63,103.19,70.26
ENSG00010000932,GENE0933,2991.71,3676.19,3224.02,3994.40,1828.81,2897.94,2600.91,2958.48
ENSG00010000933,GENE0934,48.93,70.66,67.00,84.65,50.68,76.15,41.21,79.83
ENSG00010000934,GENE0935,288.54,283.50,266.42,259.39,329.15,291.60,282.27,294.65
ENSG00010000935,GENE0936,109.53,121.76,147.60,126.39,129.67,144.57,165.36,237.72
ENSG00010000936,GENE0937,730.08,980.54,943.56,1057.51,517.33,763.99,1028.04,884.71
ENSG00010000937,GENE0938,173.54,180.41,200.18,158.36,217.93,159.19,283.55,202.49
ENSG00010000938,GENE0939,1328.50,2195.53,2874.16,3087.50,2187.21,2209.20,3104.21,2489.21
ENSG00010000939,GENE0940,6.09,3.81,3.55,5.61,5.06,5.80,6.27,7.02
ENSG00010000940,GENE0941,6.86,4.52,7.86,8.18,9.11,4.70,7.03,5.24
ENSG00010000941,GENE0942,122.32,71.46,67.03,124.97,10.11,10.46,10.76,14.80
ENSG00010000942,GENE0943,126.64,119.10,110.48,124.16,112.62,77.44,132.20,121.29
ENSG00010000943,GENE0944,8.96,12.28,6.97,6.39,8.70,7.96,10.02,6.95
ENSG00010000944,GENE0945,187.39,315.05,246.45,154.52,1180.06,822.43,774.92,1436.33
ENSG00010000945,GENE0946,106.20,78.21,99.84,99.94,91.05,123.38,71.69,74.37
ENSG00010000946,GENE0947,18.42,16.70,41.73,21.23,30.29,21.95,19.14,22.09
ENSG00010000947,GENE0948,36.05,25.34,23.84,23.28,30.41,22.63,38.94,36.91
ENSG00010000948,GENE0949,24.61,26.91,15.41,18.47,16.51,24.55,15.87,21.53
ENSG00010000949,GENE0950,7.67,7.31,9.73,5.69,7.34,6.99,6.96,8.27
ENSG00010000950,GENE0951,9.21,9.80,14.14,10.37,16.49,14.38,14.92,7.99
ENSG00010000951,GENE0952,8.74,10.74,10.12,6.63,5.24,8.85,10.05,7.92
ENSG00010000952,GENE0953,13.56,11.34,13.94,20.78,22.05,20.11,19.08,19.76
ENSG00010000953,GENE0954,86.86,54.37,124.01,65.72,89.59,61.36,63.86,52.33
ENSG00010000954,GENE0955,50.02,35.32,71.57,66.27,64.20,36.39,66.72,46.33
ENSG00010000955,GENE0956,182.80,230.40,116.50,155.25,470.77,648.22,563.72,467.03
ENSG00010000956,GENE0957,175.84,101.10,163.84,106.17,122.05,200.66,179.70,91.61
ENSG00010000957,GENE0958,2060.65,2229.72,2234.24,1488.28,2028.16,2483.06,2032.79,2695.32
ENSG00010000958,GENE0959,77.86,91.79,55.52,95.98,92.31,93.24,76.37,63.39
ENSG00010000959,GENE0960,3.96,5.63,3.99,5.16,7.96,7.27,14.03,13.71
ENSG00010000960,GENE0961,519.44,669.22,707.03,678.58,112.93,67.76,92.37,63.39
ENSG00010000961,GENE0962,29.82,20.48,14.64,18.66,18.76,16.61,27.71,19.66
ENSG00010000962,GENE0963,639.90,596.47,618.40,635.22,600.47,861.04,756.84,767.23
ENSG00010000963,GENE0964,43.10,60.52,42.76,58.17,33.83,36.99,23.30,39.82
ENSG00010000964,GENE0965,96.71,136.13,124.85,91.12,90.95,70.30,122.52,102.18
ENSG00010000965,GENE0966,13.33,15.25,20.31,8.62,14.24,18.62,11.22,10.59
ENSG00010000966,GENE0967,587.86,389.75,573.65,510.76,696.29,534.30,507.74,481.81
ENSG00010000967,GENE0968,77.59,50.92,114.94,68.16,13.73,10.42,14.03,18.68
ENSG00010000968,GENE0969,166.99,176.58,216.35,234.71,179.34,173.25,143.55,169.04
ENSG00010000969,GENE0970,114.88,180.87,151.21,173.24,142.36,134.01,142.39,135.15
ENSG00010000970,GENE0971,491.87,344.80,341.44,188.54,380.49,180.61,417.24,243.96
ENSG00010000971,GENE0972,11.72,22.49,18.66,19.99,17.52,21.34,21.49,20.46
ENSG00010000972,GENE0973,15.04,10.86,16.92,9.23,11.88,8.07,11.95,11.03
ENSG00010000973,GENE0974,336.26,500.64,280.55,346.78,452.15,451.21,343.30,374.48
ENSG00010000974,GENE0975,5.78,5.66,4.31,4.26,3.41,3.69,3.28,3.06
ENSG00010000975,GENE0976,1093.70,1380.38,1286.61,1164.47,1726.91,1799.99,1120.81,1381.18
ENSG00010000976,GENE0977,78.90,80.78,148.18,74.34,58.76,65.86,97.35,70.44
ENSG00010000977,GENE0978,10.43,6.73,14.01,14.61,12.84,14.55,12.62,14.29
ENSG00010000978,GENE0979,91.68,235.01,172.01,189.52,126.50,220.33,143.14,155.25
ENSG00010000979,GENE0980,8.58,10.82,8.70,6.59,8.71,8.15,8.03,6.47
ENSG00010000980,GENE0981,6.04,5.01,4.59,5.44,6.05,4.11,7.07,5.57
ENSG00010000981,GENE0982,39.63,68.22,63.89,70.87,75.79,66.72,79.08,95.82
ENSG00010000982,GENE0983,1532.19,1432.64,1541.77,944.37,1269.52,1073.92,1274.13,1116.11
ENSG00010000983,GENE0984,8.63,11.01,6.63,7.48,7.65,12.04,9.96,12.13
ENSG00010000984,GENE0985,516.70,677.67,764.19,597.55,755.57,1142.71,667.39,808.14
ENSG00010000985,GENE0986,55.45,54.05,54.74,88.54,66.66,45.96,40.71,76.10
ENSG00010000986,GENE0987,106.48,64.11,103.48,135.17,116.47,117.85,134.24,120.33
ENSG00010000987,GENE0988,2551.75,3086.51,3518.21,4243.10,34163.63,34887.06,51923.19,62604.68
ENSG00010000988,GENE0989,1115.52,1885.22,1989.15,1281.86,1623.48,1174.32,1609.81,1488.08
ENSG00010000989,GENE0990,3507.38,2325.51,3215.49,3527.40,3188.47,3770.18,3316.67,2775.96
ENSG00010000990,GENE0991,560.48,522.26,369.96,575.41,444.01,950.66,551.83,482.95
ENSG00010000991,GENE0992,1579.62,1074.57,1611.78,1630.78,1887.26,2248.77,1167.76,1591.60
ENSG00010000992,GENE0993,162.16,90.07,149.73,119.65,158.42,150.86,111.47,97.20
ENSG00010000993,GENE0994,964.77,640.16,1156.32,961.45,759.31,926.05,660.91,1072.99
ENSG00010000994,GENE0995,13.58,9.91,17.78,8.85,16.22,16.59,15.92,12.40
ENSG00010000995,GENE0996,1566.76,1121.99,1065.66,1069.86,1156.13,1135.46,1503.01,1285.82
ENSG00010000996,GENE0997,367.11,422.29,229.55,325.73,383.28,318.49,464.42,393.48
ENSG00010000997,GENE0998,48.97,47.67,40.93,31.38,42.58,65.59,37.72,49.94
ENSG00010000998,GENE0999,45.64,41.53,52.43,38.46,58.87,26.95,31.90,38.53
ENSG00010000999,GENE1000,23.78,22.58,23.76,21.90,24.49,21.90,17.65,36.56
ENSG00010001000,GENE1001,63.55,39.03,36.17,48.57,53.70,48.52,67.45,61.29
ENSG00010001001,GENE1002,221.26,323.40,275.72,286.30,383.63,312.44,337.45,272.53
ENSG00010001002,GENE1003,65.77,75.68,107.63,76.07,243.00,222.59,268.69,155.08
ENSG00010001003,GENE1004,2598.99,2549.49,2493.28,2482.18,17433.98,8542.31,7123.77,10538.23
ENSG00010001004,GENE1005,16.30,18.07,18.25,15.90,12.14,15.43,12.34,15.11
ENSG00010001005,GENE1006,130.67,91.59,56.20,109.54,439.39,468.25,692.75,217.22
ENSG00010001006,GENE1007,403.34,386.37,471.75,364.61,404.21,358.57,357.13,436.50
ENSG00010001007,GENE1008,180.57,129.47,180.02,145.13,160.95,86.80,195.28,89.50
ENSG00010001008,GENE1009,528.52,423.48,713.44,489.04,879.72,287.97,511.41,281.50
ENSG00010001009,GENE1010,1631.89,1205.77,1413.14,1941.69,5507.89,5966.09,4551.45,5440.00
ENSG00010001010,GENE1011,205.60,117.37,172.13,158.08,140.00,178.17,124.80,261.52
ENSG00010001011,GENE1012,4.30,11.01,11.66,6.78,5.54,7.75,9.77,8.12
ENSG00010001012,GENE1013,5.64,5.64,5.24,5.50,4.48,4.48,6.70,7.64
ENSG00010001013,GENE1014,44.28,62.90,65.71,95.71,58.04,77.53,122.53,80.81
ENSG00010001014,GENE1015,818.54,731.84,694.37,773.84,6608.28,6560.39,7788.97,7177.37
ENSG00010001015,GENE1016,5.29,4.43,10.43,6.17,7.28,3.96,8.99,5.44
ENSG00010001016,GENE1017,90.71,124.18,120.22,103.60,103.38,94.80,77.63,93.48
ENSG00010001017,GENE1018,4.48,3.50,6.87,4.86,7.29,5.52,7.38,4.51
ENSG00010001018,GENE1019,4.41,3.76,3.97,2.79,3.69,5.77,4.19,2.86
ENSG00010001019,GENE1020,1630.23,1475.71,1633.53,1311.62,1727.52,1397.33,1727.74,1244.57
ENSG00010001020,GENE1021,1701.03,2200.10,1768.16,1259.26,1065.96,1706.96,2171.52,2140.90
ENSG00010001021,GENE1022,427.02,302.53,329.47,404.53,453.73,446.57,354.45,385.31
ENSG00010001022,GENE1023,780.48,724.26,1025.96,807.66,1321.98,1030.38,852.98,820.32
ENSG00010001023,GENE1024,3270.26,3444.64,5699.53,2362.22,7131.51,6037.57,5697.58,6852.62
ENSG00010001024,GENE1025,5.68,4.52,3.95,5.89,4.86,2.82,2.66,4.91
ENSG00010001025,GENE1026,35.79,30.91,34.57,37.02,32.31,33.63,27.59,37.01
ENSG00010001026,GENE1027,735.58,416.91,499.67,633.59,864.25,558.09,487.45,535.37
ENSG00010001027,GENE1028,966.73,860.49,900.75,754.19,1029.50,719.19,1017.59,1008.32
ENSG00010001028,GENE1029,52.02,30.54,38.49,28.61,51.74,29.90,32.13,27.79
ENSG00010001029,GENE1030,737.65,617.15,634.23,880.48,600.13,807.27,500.25,673.10
ENSG00010001030,GENE1031,220.13,141.33,398.01,217.90,285.81,217.89,250.15,205.62
ENSG00010001031,GENE1032,8.99,9.69,12.22,7.29,9.29,10.00,7.86,7.52
ENSG00010001032,GENE1033,1905.21,1536.59,1170.67,1759.90,1561.78,1344.29,1464.33,1622.77
ENSG00010001033,GENE1034,36.71,36.19,38.28,36.07,21.17,38.82,19.33,34.89
ENSG00010001034,GENE1035,18.70,30.31,18.81,25.25,30.83,28.74,26.62,21.26
ENSG00010001035,GENE1036,159.33,163.82,112.41,147.44,89.86,144.92,188.86,181.53
ENSG00010001036,GENE1037,8.42,7.64,11.38,12.77,24.51,22.07,24.56,16.29
ENSG00010001037,GENE1038,1053.92,853.04,568.65,1047.75,706.09,764.67,434.84,689.06
ENSG00010001038,GENE1039,75.00,58.35,34.72,50.13,63.12,61.65,104.34,82.47
