source,method,id,description,direction,setSize,count,score,pvalue,padj,geneID
Reactome,ORA,Reactome0024,"DNA Double-Strand Break Repair",up,224,21,3.728,1.500e-4,4.499e-4,GENE1618/GENE2860/GENE1897/GENE0855/GENE1393/GENE1697/GENE2209/GENE2826/GENE2435/GENE2792/GENE0953/GENE1163/GENE0843/GENE0353/GENE1583/GENE0322/GENE1560/GENE0388/GENE2603/GENE2379/GENE0813
WikiPathways,ORA,WikiPathways0025,"Apoptosis",down,169,27,4.044,2.312e-3,6.935e-3,GENE0854/GENE0975/GENE1758/GENE0884/GENE2639/GENE1964/GENE1350/GENE1392/GENE2835/GENE0404/GENE2780/GENE1741/GENE0836/GENE0279/GENE2253/GENE0367/GENE1332/GENE0070/GENE2031/GENE2733/GENE1766/GENE0771/GENE2058/GENE2987/GENE0057/GENE0388/GENE1866
WikiPathways,ORA,WikiPathways0026,"Cell cycle",up,114,38,1.962,2.038e-5,6.115e-5,GENE1357/GENE1179/GENE1533/GENE2299/GENE0118/GENE1223/GENE1759/GENE2112/GENE0975/GENE0126/GENE2940/GENE1928/GENE1897/GENE1820/GENE1957/GENE2924/GENE2038/GENE2234/GENE0199/GENE2824/GENE2594/GENE1799/GENE1424/GENE1690/GENE2177/GENE1408/GENE1340/GENE2979/GENE0891/GENE1766/GENE0988/GENE2110/GENE1887/GENE1891/GENE1995/GENE2970/GENE1010/GENE0836
WikiPathways,ORA,WikiPathways0027,"TNF-alpha signaling",up,250,44,2.035,7.141e-5,2.142e-4,GENE2313/GENE1003/GENE1675/GENE1725/GENE2713/GENE0654/GENE2960/GENE2591/GENE0871/GENE1565/GENE0450/GENE1669/GENE1420/GENE2581/GENE2310/GENE2590/GENE0401/GENE1231/GENE0097/GENE0842/GENE0628/GENE2062/GENE2938/GENE0626/GENE0779/GENE2485/GENE0510/GENE2341/GENE1576/GENE2619/GENE2467/GENE2461/GENE1518/GENE0884/GENE1170/GENE1965/GENE2078/GENE0894/GENE2127/GENE1731/GENE2209/GENE1473/GENE1347/GENE1451
WikiPathways,ORA,WikiPathways0028,"VEGFA-VEGFR2 pathway",down,292,20,1.470,6.327e-7,1.898e-6,GENE0671/GENE0779/GENE2546/GENE1480/GENE0882/GENE2211/GENE2307/GENE1644/GENE2313/GENE2897/GENE2516/GENE0670/GENE1928/GENE1782/GENE0066/GENE2761/GENE1897/GENE1964/GENE2456/GENE1993
WikiPathways,ORA,WikiPathways0029,"Inflammatory Response Pathway",up,144,25,3.188,1.103e-6,3.310e-6,GENE2185/GENE2931/GENE2943/GENE0439/GENE1786/GENE1460/GENE1866/GENE2948/GENE2677/GENE0671/GENE2310/GENE2195/GENE2715/GENE1222/GENE2302/GENE0870/GENE1587/GENE1436/GENE1456/GENE2796/GENE0126/GENE2733/GENE1850/GENE0592/GENE0653
GSEA:H,GSEA,GSEAH0030,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",up,288,68,-1.418,3.610e-7,1.083e-6,GENE0774/GENE2641/GENE2897/GENE2899/GENE1451/GENE1648/GENE0642/GENE1731/GENE0836/GENE2344/GENE1583/GENE0333/GENE2824/GENE0418/GENE2488/GENE1179/GENE2931/GENE2820/GENE1758/GENE2143/GENE1374/GENE1748/GENE1782/GENE1295/GENE2680/GENE2195/GENE0318/GENE1902/GENE1660/GENE1408/GENE1464/GENE0942/GENE0118/GENE1062/GENE0707/GENE1254/GENE0283/GENE1771/GENE1463/GENE0485/GENE2440/GENE0066/GENE1222/GENE0147/GENE0153/GENE1923/GENE2703/GENE0464/GENE0557/GENE2685/GENE1820/GENE1473/GENE1786/GENE0555/GENE1672/GENE1337/GENE2869/GENE0194/GENE2307/GENE1350/GENE0195/GENE1930/GENE1518/GENE1669/GENE2849/GENE1957/GENE1239/GENE1381
GSEA:H,GSEA,GSEAH0031,"HALLMARK_INFLAMMATORY_RESPONSE",up,248,53,-1.392,1.426e-7,4.277e-7,GENE0612/GENE2437/GENE2072/GENE0404/GENE0968/GENE2612/GENE1546/GENE0628/GENE0613/GENE1758/GENE1755/GENE0871/GENE2375/GENE2926/GENE2901/GENE1081/GENE2702/GENE1964/GENE1351/GENE1877/GENE0515/GENE1477/GENE1771/GENE2062/GENE0547/GENE0855/GENE1310/GENE0642/GENE2897/GENE2924/GENE0670/GENE0382/GENE1163/GENE1988/GENE0318/GENE0707/GENE1859/GENE1660/GENE0478/GENE1204/GENE1424/GENE2820/GENE2778/GENE1941/GENE2752/GENE2014/GENE0195/GENE0356/GENE2680/GENE0120/GENE2405/GENE1741/GENE1748
GSEA:H,GSEA,GSEAH0032,"HALLMARK_HYPOXIA",down,279,98,2.249,5.504e-4,1.651e-3,GENE0812/GENE0610/GENE1488/GENE1530/GENE0571/GENE0823/GENE0066/GENE2110/GENE2143/GENE0153/GENE1859/GENE0824/GENE0629/GENE2078/GENE1665/GENE2740/GENE1004/GENE2690/GENE1930/GENE1675/GENE2109/GENE0961/GENE1919/GENE0622/GENE2940/GENE2026/GENE0404/GENE1339/GENE1644/GENE0791/GENE1332/GENE2685/GENE0395/GENE1337/GENE0070/GENE0450/GENE2227/GENE1375/GENE0592/GENE0418/GENE1935/GENE0744/GENE2663/GENE1866/GENE1993/GENE0220/GENE1560/GENE1697/GENE2062/GENE1463/GENE2193/GENE1321/GENE2378/GENE2780/GENE1741/GENE1846/GENE0753/GENE0556/GENE2826/GENE1690/GENE1436/GENE1505/GENE2112/GENE0219/GENE2622/GENE1172/GENE1204/GENE2484/GENE2038/GENE1669/GENE1104/GENE2235/GENE1336/GENE2233/GENE1264/GENE0988/GENE2782/GENE1361/GENE2116/GENE1239/GENE2725/GENE1091/GENE0645/GENE1620/GENE2591/GENE1212/GENE1803/GENE1650/GENE1196/GENE0774/GENE1080/GENE0246/GENE1760/GENE0909/GENE2127/GENE0843/GENE0490/GENE1117
GSEA:H,GSEA,GSEAH0033,"HALLMARK_P53_PATHWAY",up,285,82,1.996,6.858e-6,2.057e-5,GENE0629/GENE1939/GENE1887/GENE0056/GENE1347/GENE0891/GENE0401/GENE1858/GENE0812/GENE1725/GENE0975/GENE2560/GENE0771/GENE1665/GENE2235/GENE2376/GENE2819/GENE0199/GENE0671/GENE2561/GENE0217/GENE0803/GENE1488/GENE0592/GENE1432/GENE2774/GENE2581/GENE2209/GENE0988/GENE2072/GENE0557/GENE2112/GENE1774/GENE2307/GENE1451/GENE1928/GENE0118/GENE0190/GENE1081/GENE2467/GENE0770/GENE1204/GENE1988/GENE1104/GENE1091/GENE1828/GENE1643/GENE0624/GENE1741/GENE0466/GENE1803/GENE1254/GENE1620/GENE1530/GENE0909/GENE0096/GENE2782/GENE0571/GENE1941/GENE0781/GENE2484/GENE2690/GENE1900/GENE1846/GENE0912/GENE1004/GENE1179/GENE0153/GENE2378/GENE1993/GENE2639/GENE2680/GENE0429/GENE1936/GENE1808/GENE2641/GENE1239/GENE1407/GENE0435/GENE0806/GENE1866/GENE1006
GSEA:H,GSEA,GSEAH0034,"HALLMARK_APOPTOSIS",up,197,92,1.841,1.460e-2,4.381e-2,GENE0794/GENE1604/GENE0429/GENE0404/GENE2562/GENE1339/GENE2538/GENE1576/GENE1988/GENE0699/GENE0208/GENE1098/GENE1058/GENE2622/GENE1993/GENE2680/GENE1243/GENE2445/GENE2835/GENE2238/GENE2824/GENE0066/GENE0673/GENE2740/GENE1222/GENE2527/GENE0803/GENE1104/GENE0106/GENE1531/GENE0441/GENE1004/GENE0836/GENE2376/GENE1477/GENE0687/GENE2014/GENE1473/GENE1919/GENE0450/GENE1308/GENE1786/GENE0858/GENE0975/GENE2461/GENE0244/GENE0612/GENE0671/GENE0677/GENE2649/GENE0968/GENE0707/GENE1959/GENE1935/GENE0097/GENE1436/GENE1456/GENE2796/GENE0870/GENE0589/GENE1887/GENE1204/GENE0894/GENE0712/GENE1393/GENE2488/GENE1690/GENE1480/GENE1758/GENE0126/GENE1773/GENE0333/GENE1817/GENE0909/GENE1252/GENE1938/GENE0283/GENE0538/GENE1760/GENE1657/GENE2074/GENE1347/GENE0744/GENE1795/GENE1381/GENE0120/GENE0318/GENE2437/GENE1297/GENE1877/GENE0123/GENE0371
GSEA:H,GSEA,GSEAH0035,"HALLMARK_INTERFERON_GAMMA_RESPONSE",down,178,90,-2.595,5.813e-3,1.744e-2,GENE2849/GENE1897/GENE2097/GENE2484/GENE1241/GENE1758/GENE0507/GENE1546/GENE2740/GENE2960/GENE1936/GENE1321/GENE2722/GENE0373/GENE0891/GENE0699/GENE2882/GENE2780/GENE2826/GENE1155/GENE0563/GENE1417/GENE1308/GENE0097/GENE2185/GENE1288/GENE1357/GENE0549/GENE1747/GENE0555/GENE0472/GENE1098/GENE1407/GENE0323/GENE1818/GENE1347/GENE1741/GENE2197/JUN/GENE2109/GENE1774/GENE1410/GENE0802/GENE1604/GENE2253/GENE0761/GENE0285/GENE2970/GENE2948/GENE0147/GENE1530/GENE0088/GENE1938/GENE1657/GENE0322/GENE2461/GENE0735/GENE0187/GENE1887/GENE1172/GENE2933/GENE2622/GENE1350/GENE1795/GENE0637/GENE0538/GENE2633/GENE2078/GENE1231/GENE2233/GENE1725/GENE0770/GENE2641/GENE2282/GENE1573/GENE1196/GENE2674/GENE0803/GENE1759/GENE0933/GENE0450/GENE1443/GENE1441/GENE1133/GENE1243/GENE1352/GENE2527/GENE2310/GENE2623/GENE0571
GSEA:H,GSEA,GSEAH0036,"HALLMARK_E2F_TARGETS",up,47,27,2.053,4.895e-6,1.469e-5,GENE1818/GENE2690/GENE1652/GENE1650/GENE0734/CCND1/GENE0450/GENE2641/GENE1374/GENE2774/GENE1062/GENE1451/GENE1546/GENE2018/GENE1897/GENE0889/GENE0653/GENE1163/GENE1995/GENE1340/GENE2453/GENE0371/GENE1321/GENE2649/GENE2253/GENE2038/GENE1748
GSEA:H,GSEA,GSEAH0037,"HALLMARK_G2M_CHECKPOINT",up,78,23,1.473,1.497e-3,4.492e-3,GENE0882/GENE0356/GENE1846/GENE0813/GENE0698/GENE0555/GENE0589/GENE2235/GENE0884/GENE2713/GENE0816/GENE2943/GENE0328/GENE1416/GENE2313/GENE1505/GENE0592/GENE1407/GENE2871/GENE0411/GENE0322/GENE2148/GENE0899
