gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00010000064,GENE0065,142.35,0.0293,0.1998,8.834e-1,9.658e-1
ENSG00010000065,GENE0066,34.45,-2.1280,0.1791,1.000e-300,1.471e-299
ENSG00010000066,GENE0067,7.85,-0.0700,0.2679,7.940e-1,9.486e-1
ENSG00010000067,GENE0068,1042.94,0.3002,0.2972,3.124e-1,6.700e-1
ENSG00010000068,GENE0069,13.12,0.2890,0.1235,1.932e-2,1.044e-1
ENSG00010000069,GENE0070,81.28,2.1489,0.2110,1.000e-300,1.471e-299
ENSG00010000070,GENE0071,3338.07,-0.4853,0.2855,8.911e-2,3.362e-1
ENSG00010000071,GENE0072,29.02,0.0905,0.2322,6.967e-1,9.127e-1
ENSG00010000072,GENE0073,3022.15,0.1316,0.3764,7.266e-1,9.276e-1
ENSG00010000073,GENE0074,1713.04,-0.4547,0.1966,2.070e-2,1.103e-1
ENSG00010000074,GENE0075,1126.28,-0.2312,0.2682,3.886e-1,7.471e-1
ENSG00010000075,GENE0076,176.30,-0.3564,0.1722,3.845e-2,1.794e-1
ENSG00010000076,GENE0077,3832.89,-0.0307,0.1946,8.746e-1,9.634e-1
ENSG00010000077,GENE0078,292.21,0.0621,0.2418,7.972e-1,9.490e-1
ENSG00010000078,GENE0079,1972.33,0.2750,0.3232,3.949e-1,7.517e-1
ENSG00010000079,GENE0080,41.03,0.2129,0.2962,4.723e-1,7.992e-1
ENSG00010000080,GENE0081,1626.30,0.0765,0.3925,8.455e-1,9.581e-1
ENSG00010000081,GENE0082,3056.32,-0.0879,0.1005,3.819e-1,7.437e-1
ENSG00010000082,GENE0083,836.63,0.2828,0.1414,4.547e-2,2.033e-1
ENSG00010000083,GENE0084,1329.30,-0.3724,0.2277,1.020e-1,3.659e-1
ENSG00010000084,GENE0085,7.90,0.1833,0.2528,4.684e-1,7.973e-1
ENSG00010000085,GENE0086,87.87,0.1448,0.2704,5.924e-1,8.661e-1
ENSG00010000086,GENE0087,177.76,0.0845,0.2111,6.889e-1,9.083e-1
ENSG00010000087,GENE0088,6.58,-2.3754,0.3160,5.596e-14,7.528e-13
ENSG00010000088,GENE0089,406.59,0.2522,0.1502,9.321e-2,3.461e-1
ENSG00010000089,GENE0090,480.59,0.3210,0.3744,3.913e-1,7.500e-1
ENSG00010000090,GENE0091,2328.41,0.1317,0.3293,6.891e-1,9.083e-1
ENSG00010000091,GENE0092,200.95,-2.1031,0.2458,1.000e-300,1.471e-299
ENSG00010000092,GENE0093,24.37,-0.1840,0.2500,4.616e-1,7.966e-1
ENSG00010000093,GENE0094,272.29,-0.0828,0.2019,6.818e-1,9.055e-1
ENSG00010000094,GENE0095,2289.35,0.1761,0.2113,4.045e-1,7.562e-1
ENSG00010000095,GENE0096,28.73,-1.3380,0.2612,3.024e-7,2.964e-6
ENSG00010000096,GENE0097,276.21,-0.5760,0.1674,5.804e-4,4.386e-3
ENSG00010000097,GENE0098,5.14,0.0196,0.2083,9.252e-1,9.787e-1
ENSG00010000098,GENE0099,16.03,-0.3068,0.1763,8.183e-2,3.168e-1
ENSG00010000099,GENE0100,7.38,0.1513,0.1456,2.985e-1,6.629e-1
ENSG00010000100,GENE0101,1028.94,-0.1853,0.1569,2.377e-1,5.875e-1
ENSG00010000101,GENE0102,10.92,-0.4939,0.2807,7.847e-2,3.077e-1
ENSG00010000102,GENE0103,985.94,0.1474,0.3087,6.331e-1,8.846e-1
ENSG00010000103,GENE0104,277.34,0.2645,0.1802,1.422e-1,4.424e-1
ENSG00010000104,GENE0105,147.21,0.0213,0.2051,9.174e-1,9.768e-1
ENSG00010000105,GENE0106,216.65,-0.5329,0.1845,3.877e-3,2.562e-2
ENSG00010000106,GENE0107,558.42,0.1812,0.1552,2.430e-1,5.921e-1
ENSG00010000107,GENE0108,98.65,-0.1884,0.2694,4.844e-1,8.056e-1
ENSG00010000108,GENE0109,15.40,0.1514,0.2463,5.388e-1,8.423e-1
ENSG00010000109,GENE0110,3611.16,0.0250,0.1944,8.978e-1,9.712e-1
ENSG00010000110,GENE0111,303.55,-0.0320,0.2698,9.055e-1,9.732e-1
ENSG00010000111,GENE0112,3422.19,0.0366,0.2761,8.946e-1,9.696e-1
ENSG00010000112,GENE0113,123.27,0.0516,0.1539,7.373e-1,9.325e-1
ENSG00010000113,GENE0114,22.02,0.2121,0.2938,4.704e-1,7.978e-1
ENSG00010000114,GENE0115,43.24,-0.5483,0.1693,1.202e-3,8.795e-3
ENSG00010000115,GENE0116,6.10,0.0523,0.2925,8.581e-1,9.620e-1
ENSG00010000116,GENE0117,860.94,-0.1022,0.3400,7.637e-1,9.408e-1
ENSG00010000117,GENE0118,542.93,2.0094,0.1636,1.000e-300,1.471e-299
ENSG00010000118,GENE0119,129.54,-0.4728,0.3004,1.155e-1,3.931e-1
ENSG00010000119,GENE0120,366.48,-2.2407,0.2391,1.000e-300,1.471e-299
ENSG00010000120,GENE0121,62.46,-0.4419,0.2888,1.261e-1,4.111e-1
ENSG00010000121,GENE0122,275.34,0.1287,0.3031,6.712e-1,9.005e-1
ENSG00010000122,GENE0123,125.53,-1.9541,0.2846,6.616e-12,7.876e-11
ENSG00010000123,GENE0124,719.34,-0.2785,0.1772,1.160e-1,3.933e-1
ENSG00010000124,GENE0125,2747.39,0.1678,0.1635,3.049e-1,6.662e-1
ENSG00010000125,GENE0126,1238.81,-2.2071,0.1777,1.000e-300,1.471e-299
ENSG00010000126,GENE0127,394.02,-0.1957,0.2082,3.473e-1,7.079e-1
ENSG00010000127,GENE0128,418.09,0.0893,0.1948,6.466e-1,8.874e-1
ENSG00010000128,GENE0129,1321.86,0.1658,0.3319,6.174e-1,8.769e-1
ENSG00010000129,GENE0130,6.86,0.1069,0.1828,5.588e-1,8.518e-1
ENSG00010000130,GENE0131,1673.37,0.2313,0.3384,4.943e-1,8.131e-1
ENSG00010000131,GENE0132,1422.10,0.1015,0.2172,6.402e-1,8.857e-1
ENSG00010000132,GENE0133,22.74,0.0042,0.1907,9.823e-1,9.946e-1
ENSG00010000133,GENE0134,6.64,-0.4820,0.3474,1.653e-1,4.839e-1
ENSG00010000134,GENE0135,57.33,-0.0826,0.2996,7.827e-1,9.471e-1
ENSG00010000135,GENE0136,1137.89,0.1843,0.2415,4.454e-1,7.825e-1
ENSG00010000136,GENE0137,1732.09,-0.0472,0.2051,8.182e-1,9.507e-1
ENSG00010000137,GENE0138,115.51,0.0198,0.2483,9.364e-1,9.787e-1
ENSG00010000138,GENE0139,39.08,0.3474,0.3140,2.685e-1,6.268e-1
ENSG00010000139,GENE0140,13.49,0.2312,0.1698,1.733e-1,4.935e-1
ENSG00010000140,GENE0141,919.87,-0.1606,0.1912,4.009e-1,7.546e-1
ENSG00010000141,GENE0142,54.52,-0.1593,0.1894,4.002e-1,7.546e-1
ENSG00010000142,GENE0143,13.55,0.2602,0.2237,2.447e-1,5.940e-1
ENSG00010000143,GENE0144,191.96,-0.0956,0.1848,6.049e-1,8.689e-1
ENSG00010000144,GENE0145,4.96,0.2774,0.1965,1.582e-1,4.703e-1
ENSG00010000145,GENE0146,3.90,-0.1166,0.2469,6.366e-1,8.857e-1
ENSG00010000146,GENE0147,885.32,0.9038,0.1758,2.713e-7,2.668e-6
ENSG00010000147,GENE0148,1352.24,-0.1156,0.2590,6.554e-1,8.905e-1
ENSG00010000148,GENE0149,385.78,-0.6009,0.2559,1.889e-2,1.027e-1
ENSG00010000149,GENE0150,1330.55,0.1373,0.1628,3.990e-1,7.546e-1
ENSG00010000150,GENE0151,69.33,0.2600,0.2021,1.984e-1,5.283e-1
ENSG00010000151,GENE0152,498.30,-0.4055,0.2274,7.458e-2,2.971e-1
ENSG00010000152,GENE0153,2912.78,-0.4378,0.1498,3.469e-3,2.328e-2
ENSG00010000153,GENE0154,329.71,0.1831,0.2603,4.818e-1,8.052e-1
ENSG00010000154,GENE0155,43.87,-0.3718,0.1579,1.858e-2,1.015e-1
ENSG00010000155,GENE0156,18.55,-0.3904,0.2513,1.203e-1,3.989e-1
ENSG00010000156,GENE0157,133.56,-0.2734,0.1789,1.264e-1,4.113e-1
ENSG00010000157,GENE0158,229.43,0.3482,0.2361,1.404e-1,4.396e-1
ENSG00010000158,GENE0159,20.62,-0.0604,0.2207,7.844e-1,9.471e-1
ENSG00010000159,GENE0160,68.33,-0.5826,0.3084,5.890e-2,2.524e-1
ENSG00010000160,GENE0161,294.81,0.0718,0.1864,7.003e-1,9.146e-1
ENSG00010000161,GENE0162,86.04,-0.1359,0.1868,4.667e-1,7.966e-1
ENSG00010000162,GENE0163,388.62,0.1728,0.1705,3.107e-1,6.700e-1
ENSG00010000163,GENE0164,1398.78,0.0797,0.2470,7.468e-1,9.339e-1
ENSG00010000164,GENE0165,300.79,-0.5551,0.2510,2.697e-2,1.349e-1
ENSG00010000165,GENE0166,15.94,0.1061,0.1643,5.185e-1,8.318e-1
ENSG00010000166,GENE0167,43.24,0.1367,0.2821,6.281e-1,8.814e-1
ENSG00010000167,GENE0168,25.77,-0.1642,0.2256,4.668e-1,7.966e-1
ENSG00010000168,GENE0169,10.48,0.0274,0.1802,8.790e-1,9.641e-1
ENSG00010000169,GENE0170,295.57,0.0809,0.2858,7.771e-1,9.446e-1
ENSG00010000170,GENE0171,95.75,-0.0142,0.3810,9.703e-1,9.915e-1
ENSG00010000171,GENE0172,38.30,-0.0655,0.3911,8.670e-1,9.620e-1
ENSG00010000172,GENE0173,81.23,-0.2242,0.1638,1.711e-1,4.910e-1
ENSG00010000173,GENE0174,801.08,-0.5346,0.2622,4.143e-2,1.900e-1
ENSG00010000174,GENE0175,11.87,0.0652,0.2002,7.447e-1,9.336e-1
ENSG00010000175,GENE0176,5.44,0.0079,0.2646,9.761e-1,9.920e-1
ENSG00010000176,GENE0177,160.06,0.2298,0.2913,4.301e-1,7.713e-1
ENSG00010000177,GENE0178,467.59,-0.0534,0.1980,7.873e-1,9.471e-1
ENSG00010000178,GENE0179,8.82,0.2281,0.2252,3.112e-1,6.700e-1
ENSG00010000179,GENE0180,474.13,0.0790,0.2493,7.514e-1,9.357e-1
ENSG00010000180,GENE0181,52.56,-0.5409,0.2746,4.882e-2,2.163e-1
ENSG00010000181,GENE0182,1654.54,-0.1316,0.2437,5.892e-1,8.653e-1
ENSG00010000182,GENE0183,136.06,-0.2475,0.3204,4.399e-1,7.777e-1
ENSG00010000183,GENE0184,3903.09,-0.1988,0.1874,2.886e-1,6.554e-1
ENSG00010000184,GENE0185,8.65,-0.9993,0.1484,1.667e-11,1.961e-10
ENSG00010000185,GENE0186,703.86,-0.1270,0.1184,2.835e-1,6.491e-1
ENSG00010000186,GENE0187,3902.71,0.3814,0.1454,8.688e-3,5.265e-2
ENSG00010000187,GENE0188,800.71,0.0356,0.1878,8.497e-1,9.598e-1
ENSG00010000188,GENE0189,8.41,0.0912,0.2493,7.146e-1,9.209e-1
ENSG00010000189,GENE0190,2174.26,-3.1539,0.2173,1.000e-300,1.471e-299
ENSG00010000190,GENE0191,6.94,-0.0522,0.2113,8.048e-1,9.490e-1
ENSG00010000191,GENE0192,1484.47,0.4374,0.2353,6.305e-2,2.646e-1
ENSG00010000192,GENE0193,76.21,-0.1915,0.2266,3.981e-1,7.546e-1
ENSG00010000193,GENE0194,34.94,-1.6341,0.1741,1.000e-300,1.471e-299
ENSG00010000194,GENE0195,7433.93,1.9494,0.3564,4.533e-8,4.625e-7
ENSG00010000195,GENE0196,14.08,-0.1734,0.2033,3.937e-1,7.514e-1
ENSG00010000196,GENE0197,1687.61,-0.3592,0.2700,1.833e-1,5.049e-1
ENSG00010000197,GENE0198,139.84,0.2425,0.3887,5.327e-1,8.398e-1
ENSG00010000198,GENE0199,7131.33,3.2314,0.1845,1.000e-300,1.471e-299
ENSG00010000199,GENE0200,11.97,0.4358,0.1987,2.831e-2,1.401e-1
ENSG00010000200,GENE0201,295.64,-0.3123,0.2762,2.581e-1,6.126e-1
ENSG00010000201,GENE0202,1221.42,0.3474,0.2220,1.176e-1,3.952e-1
ENSG00010000202,GENE0203,166.55,0.0014,0.2130,9.948e-1,9.972e-1
ENSG00010000203,GENE0204,2284.80,0.1151,0.3491,7.416e-1,9.336e-1
ENSG00010000204,GENE0205,6.09,-0.0040,0.1635,9.803e-1,9.945e-1
ENSG00010000205,GENE0206,38.16,-0.1967,0.1433,1.700e-1,4.908e-1
ENSG00010000206,GENE0207,10.39,0.0953,0.2172,6.609e-1,8.936e-1
ENSG00010000207,GENE0208,1009.89,2.2034,0.2046,1.000e-300,1.471e-299
ENSG00010000208,GENE0209,256.18,-0.0673,0.1550,6.642e-1,8.953e-1
ENSG00010000209,GENE0210,298.51,0.4619,0.2937,1.157e-1,3.931e-1
ENSG00010000210,GENE0211,88.46,0.2407,0.1785,1.774e-1,4.968e-1
ENSG00010000211,GENE0212,22.73,-0.0978,0.0621,1.156e-1,3.931e-1
ENSG00010000212,GENE0213,83.81,-0.1636,0.2439,5.025e-1,8.211e-1
ENSG00010000213,GENE0214,583.42,-0.2008,0.1622,2.158e-1,5.539e-1
ENSG00010000214,GENE0215,349.77,0.0221,0.2516,9.300e-1,9.787e-1
ENSG00010000215,GENE0216,961.82,-0.1803,0.2345,4.419e-1,7.789e-1
ENSG00010000216,GENE0217,66.10,0.4454,0.1469,2.419e-3,1.661e-2
ENSG00010000217,GENE0218,78.46,0.0693,0.1602,6.652e-1,8.953e-1
ENSG00010000218,GENE0219,260.74,1.7926,0.2967,1.532e-9,1.672e-8
ENSG00010000219,GENE0220,897.87,-0.3106,0.0878,4.058e-4,3.162e-3
ENSG00010000220,GENE0221,3628.44,0.1150,0.1326,3.858e-1,7.458e-1
ENSG00010000221,GENE0222,103.30,-0.3356,0.2654,2.061e-1,5.404e-1
ENSG00010000222,GENE0223,26.86,0.2735,0.2800,3.288e-1,6.897e-1
ENSG00010000223,GENE0224,11.41,0.1970,0.1960,3.150e-1,6.736e-1
ENSG00010000224,GENE0225,6.57,-0.1383,0.1287,2.824e-1,6.483e-1
ENSG00010000225,GENE0226,38.29,0.0071,0.1570,9.637e-1,9.887e-1
ENSG00010000226,GENE0227,1001.36,0.2146,0.3835,5.757e-1,8.614e-1
ENSG00010000227,GENE0228,113.00,-0.1587,0.2894,5.834e-1,8.618e-1
ENSG00010000228,GENE0229,24.84,-0.0488,0.2058,8.126e-1,9.507e-1
ENSG00010000229,GENE0230,542.20,-0.2859,0.1584,7.107e-2,2.889e-1
ENSG00010000230,GENE0231,911.66,-0.3881,0.3660,2.890e-1,6.554e-1
ENSG00010000231,GENE0232,2251.72,-0.3244,0.1881,8.460e-2,3.254e-1
ENSG00010000232,GENE0233,1612.16,0.1426,0.2371,5.475e-1,8.475e-1
ENSG00010000233,GENE0234,4.99,0.3220,0.2211,1.453e-1,4.468e-1
ENSG00010000234,GENE0235,21.78,0.3041,0.2036,1.352e-1,4.301e-1
ENSG00010000235,GENE0236,112.98,-0.4012,0.2901,1.667e-1,4.865e-1
ENSG00010000236,GENE0237,30.67,-0.0890,0.2215,6.880e-1,9.083e-1
ENSG00010000237,GENE0238,5.44,0.0200,0.2152,9.261e-1,9.787e-1
ENSG00010000238,GENE0239,113.97,-0.3870,0.2076,6.228e-2,2.624e-1
ENSG00010000239,GENE0240,25.40,0.0129,0.3039,9.662e-1,9.898e-1
ENSG00010000240,GENE0241,354.98,0.1612,0.2273,4.783e-1,8.025e-1
ENSG00010000241,GENE0242,3705.57,0.3062,0.2179,1.599e-1,4.732e-1
ENSG00010000242,GENE0243,606.64,0.0872,0.2584,7.358e-1,9.313e-1
ENSG00010000243,GENE0244,805.36,-2.2306,0.2172,1.000e-300,1.471e-299
ENSG00010000244,GENE0245,62.30,0.0018,0.1644,9.913e-1,9.962e-1
ENSG00010000245,GENE0246,162.19,2.8900,0.3274,1.000e-300,1.471e-299
ENSG00010000246,GENE0247,192.64,0.2740,0.3565,4.421e-1,7.789e-1
ENSG00010000247,GENE0248,27.81,0.1497,0.2375,5.284e-1,8.358e-1
ENSG00010000248,GENE0249,23.89,0.4785,0.1402,6.401e-4,4.825e-3
ENSG00010000249,GENE0250,1773.64,0.0665,0.2337,7.760e-1,9.445e-1
ENSG00010000250,GENE0251,785.76,-0.3724,0.1583,1.869e-2,1.019e-1
ENSG00010000251,GENE0252,250.74,-0.2042,0.2948,4.886e-1,8.092e-1
ENSG00010000252,GENE0253,117.72,-0.0956,0.2543,7.068e-1,9.176e-1
ENSG00010000253,GENE0254,1230.91,0.6009,0.3285,6.739e-2,2.793e-1
ENSG00010000254,GENE0255,15.26,0.2495,0.1720,1.468e-1,4.490e-1
ENSG00010000255,GENE0256,770.86,0.2087,0.2530,4.093e-1,7.581e-1
ENSG00010000256,GENE0257,5.72,-0.2090,0.1558,1.799e-1,5.006e-1
ENSG00010000257,GENE0258,315.30,0.2008,0.2014,3.189e-1,6.784e-1
ENSG00010000258,GENE0259,3451.66,0.1215,0.1400,3.854e-1,7.457e-1
ENSG00010000259,GENE0260,1206.57,0.2373,0.2505,3.435e-1,7.029e-1
ENSG00010000260,GENE0261,20.03,-0.0539,0.2398,8.220e-1,9.517e-1
ENSG00010000261,GENE0262,33.08,0.2695,0.3474,4.379e-1,7.776e-1
ENSG00010000262,GENE0263,3303.88,-0.0194,0.2469,9.375e-1,9.787e-1
ENSG00010000263,GENE0264,533.66,-0.0864,0.2925,7.676e-1,9.431e-1
ENSG00010000264,GENE0265,5.43,-0.2157,0.1642,1.892e-1,5.131e-1
ENSG00010000265,GENE0266,3480.96,-0.0021,0.2207,9.923e-1,9.962e-1
ENSG00010000266,GENE0267,26.27,0.3843,0.2510,1.257e-1,4.111e-1
ENSG00010000267,GENE0268,143.12,0.1415,0.2667,5.958e-1,8.673e-1
ENSG00010000268,GENE0269,754.71,0.0941,0.2473,7.036e-1,9.149e-1
ENSG00010000269,GENE0270,1626.74,0.0656,0.2651,8.046e-1,9.490e-1
ENSG00010000270,GENE0271,193.30,-0.2229,0.2692,4.078e-1,7.577e-1
ENSG00010000271,GENE0272,707.61,-0.0579,0.2441,8.126e-1,9.507e-1
ENSG00010000272,GENE0273,933.42,0.3269,0.2198,1.370e-1,4.325e-1
ENSG00010000273,GENE0274,15.73,-0.1145,0.2212,6.048e-1,8.689e-1
ENSG00010000274,GENE0275,35.18,0.0522,0.1618,7.471e-1,9.339e-1
ENSG00010000275,GENE0276,44.03,-0.4139,0.2098,4.853e-2,2.154e-1
ENSG00010000276,GENE0277,525.48,-0.2917,0.2107,1.664e-1,4.860e-1
ENSG00010000277,GENE0278,611.79,-0.1532,0.2098,4.653e-1,7.966e-1
ENSG00010000278,GENE0279,19.83,0.5540,0.1566,4.034e-4,3.151e-3
ENSG00010000279,GENE0280,1432.80,-0.1023,0.3472,7.683e-1,9.434e-1
ENSG00010000280,GENE0281,590.78,0.2273,0.1821,2.119e-1,5.499e-1
ENSG00010000281,GENE0282,2015.51,-0.0627,0.1922,7.443e-1,9.336e-1
ENSG00010000282,GENE0283,10.37,1.7175,0.2081,1.000e-300,1.471e-299
ENSG00010000283,GENE0284,316.71,-0.2243,0.3404,5.099e-1,8.259e-1
ENSG00010000284,GENE0285,3.50,-1.2023,0.1349,1.000e-300,1.471e-299
ENSG00010000285,GENE0286,1812.81,0.0893,0.2483,7.191e-1,9.228e-1
ENSG00010000286,GENE0287,140.74,-0.2027,0.1903,2.869e-1,6.539e-1
ENSG00010000287,GENE0288,123.43,-0.3493,0.3971,3.791e-1,7.404e-1
ENSG00010000288,GENE0289,6.14,-0.3919,0.3435,2.539e-1,6.064e-1
ENSG00010000289,GENE0290,7.24,-0.1169,0.1646,4.776e-1,8.025e-1
ENSG00010000290,GENE0291,42.55,0.0992,0.2521,6.939e-1,9.115e-1
ENSG00010000291,GENE0292,60.23,0.1407,0.2568,5.838e-1,8.619e-1
ENSG00010000292,GENE0293,6.38,0.0249,0.2782,9.286e-1,9.787e-1
ENSG00010000293,GENE0294,4.57,-0.1494,0.2668,5.755e-1,8.614e-1
ENSG00010000294,GENE0295,2177.08,0.0532,0.1995,7.896e-1,9.471e-1
ENSG00010000295,GENE0296,291.98,0.3770,0.3571,2.911e-1,6.562e-1
ENSG00010000296,GENE0297,560.73,-0.2435,0.1870,1.929e-1,5.189e-1
ENSG00010000297,GENE0298,46.65,-0.0698,0.1905,7.141e-1,9.209e-1
ENSG00010000298,GENE0299,125.08,-0.0388,0.2516,8.774e-1,9.634e-1
ENSG00010000299,GENE0300,10.61,-0.3600,0.2140,9.257e-2,3.445e-1
ENSG00010000300,GENE0301,43.43,0.1769,0.1746,3.109e-1,6.700e-1
ENSG00010000301,GENE0302,5.78,-0.1743,0.2963,5.562e-1,8.509e-1
ENSG00010000302,GENE0303,93.75,-0.4029,0.2572,1.172e-1,3.952e-1
ENSG00010000303,GENE0304,15.05,-0.1790,0.2359,4.481e-1,7.846e-1
ENSG00010000304,GENE0305,74.99,-0.1451,0.2011,4.704e-1,7.978e-1
ENSG00010000305,GENE0306,1393.72,-0.1110,0.2239,6.202e-1,8.777e-1
ENSG00010000306,GENE0307,432.91,0.0556,0.2056,7.870e-1,9.471e-1
ENSG00010000307,GENE0308,970.53,0.2262,0.1620,1.626e-1,4.796e-1
ENSG00010000308,GENE0309,10.20,0.0109,0.3377,9.742e-1,9.915e-1
ENSG00010000309,GENE0310,192.70,-0.1649,0.2382,4.887e-1,8.092e-1
ENSG00010000310,GENE0311,34.73,0.2423,0.1433,9.083e-2,3.405e-1
ENSG00010000311,GENE0312,647.57,-0.2621,0.3923,5.042e-1,8.224e-1
ENSG00010000312,GENE0313,24.67,-0.1690,0.2682,5.287e-1,8.358e-1
ENSG00010000313,GENE0314,31.07,-0.2619,0.3061,3.923e-1,7.508e-1
ENSG00010000314,GENE0315,5.98,-0.2318,0.1700,1.728e-1,4.935e-1
ENSG00010000315,GENE0316,37.73,0.0991,0.2397,6.791e-1,9.055e-1
ENSG00010000316,GENE0317,1635.40,-0.1420,0.2091,4.970e-1,8.160e-1
ENSG00010000317,GENE0318,71.25,-2.2629,0.1533,1.000e-300,1.471e-299
ENSG00010000318,GENE0319,252.47,0.0792,0.1874,6.725e-1,9.011e-1
